Product Title,average_rating,rating,timestamp,price,features,details,review
The Wiz,4.8,4.0,2014-05-13 14:41:33.000,10.43,[],"{""Aspect Ratio"": ""1.85:1"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""G (General Audience)"", ""Product Dimensions"": ""0.7 x 7.5 x 5.4 inches; 2.72 Ounces"", ""Item model number"": ""5070322"", ""Director"": ""Sidney Lumet"", ""Media Format"": ""Multiple Formats, Color, AC-3, Dolby, DTS Surround Sound, Dubbed, NTSC, Subtitled, Widescreen"", ""Run time"": ""2 hours and 15 minutes"", ""Release date"": ""February 3, 2009"", ""Actors"": ""Diana Ross, Michael Jackson, Nipsey Russell, Ted Ross, Mabel King"", ""Dubbed"": ""French"", ""Subtitles"": ""French"", ""Producers"": ""Rob Cohen"", ""Language"": ""English (Dolby Digital 5.1), English (DTS 5.1), Unqualified, French (Dolby Digital 2.0 Surround)"", ""Studio"": ""Studio Distribution Services"", ""Writers"": ""Joel Schumacher"", ""Number of discs"": ""1""}","This is a fun, colorful, entertaining movie. Costuming is beautiful. Sets are innovative.<br />Going from Kansas to NYC works. This is beyond a &#34;BLACK MOVIE&#34;, IMO&#62;."
Memory of Chang'an (English Subtitled),4.4,1.0,2022-04-20 04:50:02.127,19.99,"['2021', '12 episodes', '13+']","{""Audio languages"": [""\u4e2d\u6587""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Xiao Lei""], ""Starring"": [""Zhang Enze"", ""Li Ai"", ""Shen Nianru""]}",The graphics and premise are great but the whole season could be summed up in 2-3 episodes. Save your money
Dance Me Outside [VHS],4.7,5.0,2002-03-19 23:56:15.000,,[],"{""Genre"": ""Kids & Family"", ""Format"": ""Color, NTSC"", ""Contributor"": ""Herbie Barnes, W.P. Kinsella, Brian Dennis, Lisa LaCroix, Michael Greyeyes, Tamara Podemski, Don McKellar, Jennifer Podemski, Bruce McDonald, David Nancoff, Ryan Rajendra Black, Rose Marie Trudeau, Adam Beach, Gloria May Eshkibok, Selim Running Bear Sandoval, Kevin Hicks, John Frizzell, Sandrine HoltHerbie Barnes, W.P. Kinsella, Brian Dennis, Lisa LaCroix, Michael Greyeyes, Tamara Podemski, Don McKellar, Jennifer Podemski, Bruce McDonald, David Nancoff, Ryan Rajendra Black, Rose Marie Trudeau, Adam Beach, Gloria May Eshkibok, Selim Running Bear Sandoval, Kevin Hick\u2026  See more"", ""Runtime"": ""1 hour and 24 minutes"", ""Package Dimensions"": ""7.32 x 4.19 x 1.12 inches; 6.13 Ounces"", ""Director"": ""Bruce McDonald"", ""Run time"": ""1 hour and 24 minutes"", ""Release date"": ""November 19, 1996"", ""Date First Available"": ""September 29, 2006"", ""Actors"": ""Ryan Rajendra Black, Adam Beach, Jennifer Podemski, Michael Greyeyes, Lisa LaCroix"", ""Studio"": ""Allumination Filmwor"", ""Producers"": ""Brian Dennis, Bruce McDonald, David Nancoff"", ""Writers"": ""Bruce McDonald, Don McKellar, John Frizzell, W.P. Kinsella""}","""Dance Me Outside"" was a fantastic Canadian film from 1994 based on the novel of the same name by W.P. Kinsella. Directed by Bruce McDonald and co-written by Don McKellar (""Last Night,"" ""The Red Violin""), the film centers around Frank Fencepost and Silas Crow, two young adults on a reserve in northern Ontario, planning on going to college in Toronto to become mechanics. We are introduced early on to their family and (girl)friends, and the tragic act that sets the tone occurs early on in the film. ""Dance Me Outside"" inspired the (Canadian) TV series ""The Rez"" (1996) which featured many of the same actors and characters (Frank, Silas, Sadie, Joseph, Etta).<br />The film opens with a shot of Silas Crow crouched down staring at his namesake, accompanied by a native flute and a voiceover. Throughout the film there are ties between the spiritual and the natural, whether it is Illiana's mother telling her that babies come from the Great Spirit or the predictions of Mad Etta. The scenes of Robert McVey, Illiana's white Torontonian yuppie lawyer husband, being ""initiated"" into the tribe as a ruse for Gooch (Illiana's old flame who was just released from jail) to impregnate Illiana, border on the absurd, representing white stereotypes of First Nations and vice versa, but there is a power, a lack of inhibition and an attempt to become one with nature, that makes it moving.<br />""Dance Me Outside"" features many talented First Nations actors: Adam Beach (who was also in the award-winning ""Smoke Signals""), Ryan Rajendra Black, Jennifer Podemski, Michael Greyeyes, Selim Running Bear Sandoval, and Vince Manitowabi among them.<br />The music was equally excellent, from a variety of bands such as Kashtin, the Vern Cheechoo Band, Joanne Shenandoah, the Headstones, Keith Secola, and R. Carlos Nakai.<br />In some ways I preferred this film to the much-hyped ""Smoke Signals"" based on the strength of the screenplay, the cinematography, and the realistic depiction and treatment of current First Nations social issues. There is some violence, vandalism, nudity, and swearing, but this is a touching, powerful film about community, strength, love and tradition."
Changing of Ben Moore,2.8,4.0,2020-05-11 00:22:08.606,,"['IMDb 4.2', '1 h 18 min', '2015', 'R']","{""Subtitles"": [""None available""], ""Directors"": [""Jason Mills""], ""Producers"": [""Jason Mills"", ""Garnet Campbell""], ""Starring"": [""Umberto Celisano"", ""Corey Beaulieu"", ""David Lloydy""]}","Personally, I found it pretty creepy. The acting was good; two actors need some additional classes."
Elvis Presley: The Searcher,4.8,5.0,2018-12-13 21:50:50.505,14.17,[],"{""Genre"": ""Documentary"", ""Format"": ""Subtitled, NTSC"", ""Contributor"": ""Old Farm Road Films, Inc., Thom Zimny, Hal Blaine"", ""Language"": ""English"", ""Runtime"": ""3 hours and 25 minutes"", ""Digital Copy Expiration Date"": ""June 3, 2020"", ""MPAA rating"": ""NR (Not Rated)"", ""Product Dimensions"": ""0.7 x 7.5 x 5.4 inches; 2.72 Ounces"", ""Director"": ""Thom Zimny"", ""Media Format"": ""Subtitled, NTSC"", ""Run time"": ""3 hours and 25 minutes"", ""Release date"": ""October 16, 2018"", ""Actors"": ""Hal Blaine"", ""Subtitles"": ""English, French, Spanish"", ""Studio"": ""Sony Pictures Home Entertainment"", ""Country of Origin"": ""USA"", ""Number of discs"": ""1""}","Hands down, far and away the best documentary ever done on the music and legacy of Elvis A. Presley.  Get it and watch it and restore your own sense of wonder; 'nuff said."
Viva Las Vegas [Blu-ray],4.7,4.0,2016-03-03 05:08:06.000,10.62,[],"{""Genre"": ""Feature|Musical"", ""Format"": ""Multiple Formats, Blu-ray, Closed-captioned, Color, Dolby, Dubbed, NTSC, Original recording remastered, Restored, Subtitled, WidescreenMultiple Formats, Blu-ray, Closed-captioned, Color, Dolby, Dubbed, NTSC, Original recording remastered, Restored, Subtitled, Widescreen  See more"", ""Contributor"": ""Jack Carter, William Demarest, Ann-Margret, Elvis Presley, Cesare Danova, Jack Cummings, Nicky Blur, George Sidney, Sally BensonJack Carter, William Demarest, Ann-Margret, Elvis Presley, Cesare Danova, Jack Cummings, Nicky Blur, George Sidney, Sally Benson  See more"", ""Initial release date"": ""2007-09-18"", ""Language"": ""English (Dolby Digital 5.1), English (Dolby TrueHD 5.1), English (Mono), French (Dolby Digital 1.0), Spanish (Dolby Digital 1.0)"", ""Aspect Ratio"": ""2.40:1"", ""Is Discontinued By Manufacturer"": ""No"", ""MPAA rating"": ""Unrated (Not Rated)"", ""Product Dimensions"": ""6.5 x 5.25 x 0.3 inches; 1.76 Ounces"", ""Item model number"": ""2287110"", ""Director"": ""George Sidney"", ""Media Format"": ""Multiple Formats, Blu-ray, Closed-captioned, Color, Dolby, Dubbed, NTSC, Original recording remastered, Restored, Subtitled, Widescreen"", ""Run time"": ""1 hour and 25 minutes"", ""Release date"": ""September 18, 2007"", ""Actors"": ""Elvis Presley, Ann-Margret, Cesare Danova, William Demarest, Nicky Blur"", ""Dubbed"": ""Spanish"", ""Subtitles"": ""English, French, Spanish"", ""Producers"": ""Jack Cummings, George Sidney"", ""Studio"": ""Studio Distribution Services"", ""Writers"": ""Sally Benson"", ""Country of Origin"": ""USA"", ""Number of discs"": ""1""}","It's that go-go guy and that bye-bye gal ... So went the ad and poster copy back in the day for Presley's biggest movie hit of the Sixties.  Elvis and Ann-Margret make the perfect screen couple in this brief (under 90 minutes) and breezy romp, helmed by the great George Sidney (who had just directed A-M to movie stardom in Bye-Bye, Birdie).  Solid character actor Cesare Danova brings along his subtle Latin lover vibe; William Demarest (Uncle Charlie of TV's My Three Sons) delivers his usual quota of cranky laughs; and Nicky Blair makes a fine comic foil/sidekick for EP.  The soundtrack is one of Elvis' best of the era, a nice blend of original ballads (Today, Tomorrow and Forever; I Need Somebody to Lean On), made-to-order movie rockers (If You Think I Don't Need You; C'mon, Everybody), and the massively successful double-a-side lead single (Viva Las Vegas c/w What'd I Say?).  Which begs the question, why was there no original soundtrack album released back in '64 in conjunction with the film to capitalize on its big box-office success?  Who dropped the ball at RCA back in the day?"
Top Gun: Maverick,4.8,3.0,2022-11-30 11:59:33.970,21.59,"['IMDb 8.3', '2 h 10 min', '2022', 'X-Ray', 'HDR', 'UHD', 'PG-13']","{""Content advisory"": [""Violence"", ""alcohol use"", ""foul language"", ""sexual content""], ""Audio languages"": [""English Dialogue Boost: High"", ""English"", ""English Dialogue Boost: Medium""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Joseph Kosinski""], ""Producers"": [""Jerry Bruckheimer"", ""Tom Cruise"", ""Christopher McQuarrie"", ""David Ellison"", ""Tommy Harper"", ""Dana Goldberg"", ""Don Granger"", ""Chad Oman"", ""Mike Stenson""], ""Starring"": [""Miles Teller"", ""Val Kilmer"", ""Tom Cruise""]}",Blah
Shut In,4.1,5.0,2017-03-02 19:01:57.000,9.99,"['IMDb 4.8', '1 h 31 min', '2016', 'PG-13']","{""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Farren Blackburn""], ""Producers"": [""Ariel Zeitoun"", ""Claude Leger"", ""Christine Haebler""], ""Starring"": [""Naomi Watts"", ""Oliver Platt"", ""Charlie Heaton""]}","This movie has been bashed from the bottom to the top by many. Why? I think it's done well matter of fact its one of my favorite movies to date. I feel alot of the basher's are probably under the age of 35.  If there's no zombie's bobble headed over paid actors/actresses fast cars and blah blah, no ones interested. It's a good little gem. I bought it for $15.00 and its worth it. If you watched and didn't like it, give it another chance. I could spend some time talking about it (movie) but I felt I needed to defend it."
Solaris,4.2,5.0,2020-02-27 03:46:00.408,14.99,"['IMDb 6.2', '1 h 38 min', '2002', 'X-Ray', 'PG-13']","{""Audio languages"": [""English"", ""English [Audio Description]""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Steven Soderbergh""], ""Producers"": [""James Cameron"", ""Rae Sanchini"", ""Jon Landau"", ""John Cameron""], ""Starring"": [""George Clooney"", ""Natascha McElhone"", ""Jeremy Davies""]}",Great psychological film about what the afterlife may be about
Stir Crazy,4.7,5.0,2023-02-25 02:02:29.065,14.09,"['IMDb 6.7', '1 h 51 min', '1980', 'R']","{""Content advisory"": [""Nudity"", ""violence"", ""alcohol use"", ""smoking"", ""foul language"", ""sexual content""], ""Audio languages"": [""English""], ""Subtitles"": [""English [CC]""], ""Directors"": [""Sidney Poitier""], ""Producers"": [""Hannah Weinstein""], ""Starring"": [""Gene Wilder"", ""Richard Pryor"", ""Georg Stanford Brown""]}",To funny oldie but goodie!
