Product Title,average_rating,rating,timestamp,price,features,details,review
"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",4.5,5.0,2017-12-27 18:48:10.306,,[],"{""Brand"": ""Shiny Leaf"", ""Scent"": ""Almond Oil and Fractionated Coconut"", ""Item Form"": ""Oil"", ""Unit Count"": ""32.00 Fl Oz"", ""Number of Items"": ""2"", ""Package Dimensions"": ""8.62 x 5.04 x 2.48 inches; 2.23 Pounds"", ""UPC"": ""781584950669""}",Great set of oils that are great to use as is or when making other products. I used the coconut oil in a roller ball with some tea tree and clove oil for a rash and it works great. They are both have no scent.
Stretch Mask & Scar Removal Cream for Pregnancy Remove Acne Scars with Natural Herbal Extracts Anti Cellulite and Stretch Marks Remover Massage Safe for All Skin Types,3.2,2.0,2019-07-14 21:43:50.561,,[],"{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6 x 2 x 2 inches; 3.84 Ounces"", ""UPC"": ""721352041724"", ""Manufacturer"": ""Lantique""}",Have yet to notice any change have been using this product for awhile now
"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",4.5,4.0,2022-05-28 23:20:59.302,19.99,"['DON’T RISK RUINING YOUR HAIRSTYLE with LEAKY plastic hair caps that DON’T FIT. The SMPL OBJECTS Shower Cap is uniquely designed with our LEAKPROOF, nonslip silicone Forehead Strip, keeping your waterproof shower cap SECURELY IN PLACE without leaving creases. Made to fit head sizes up to a 24” circumference, this hair shower cap features our elastic Flexiband for THE PERFECT COMFY FIT.', 'THE AVERAGE SHOWER HAIR CAP is poorly made with flimsy materials, FALLING APART after a few uses. Crafted out of DURABLE, 100% waterproof polyester with a LIGHTWEIGHT, BREATHABLE feel, our washable shower cap is SOFT TO THE TOUCH and resistant to wrinkling & tearing. So you can count on it for LONG-LASTING PROTECTION against moisture – and say buh-bye to the WASTEFUL CYCLE of plastic hair caps.', 'MAKE EVERY SHOWER A LUXURY – Our quality-made womens shower caps help MAINTAIN YOUR BLOWOUT, natural curls, or whatever hairstyle you rock by LOCKING OUT MOISTURE in the shower. Not only will your follicles benefit from LESS FREQUENT WASHINGS, our shower bonnet will also eliminate the EXTRA TOUCH-UPS you would normally have to do post-shower – SAVING TIME, and saving your mane from EXCESS HEAT.', 'THE ULTIMATE BEAUTY GIFT – in a CHIC, CHARMING PACKAGE. In your choice of 5 VIBRANT PATTERNS, this shower cap for long hair, medium hair, and short hair has a gorgeous retro look that’s SLEEK & STREAMLINED compared to other bulky hair caps for women. Our head cap bonnets make perfect STOCKING STUFFERS, White Elephant gifts, birthday gifts for Mom, or centerpieces for a luxurious SPA GIFT BASKET!', 'At SMPL OBJECTS, we believe self-care is essential to your wellness and beauty – inside and out. As a woman-owned, woman-operated business based in Toronto, we make our reusable shower caps with only the best materials and craftsmanship. Your satisfaction is our top priority. If you don’t love your adult shower cap, our team is standing by to help.FRIENDLY: Go green with this washable, reusable shower cap that helps protect the environment.']","{""Brand"": ""SMPL objects"", ""Material"": ""Polyester"", ""Age Range (Description)"": ""Adult"", ""Pattern"": ""Marble"", ""Number of Items"": ""1"", ""Package Dimensions"": ""9.21 x 6.97 x 0.67 inches; 0.63 Ounces"", ""Manufacturer"": ""SMPL Objects"", ""Country of Origin"": ""China""}","I love this shower cap. It is very attractive and the black and white colors just pop. I have short to medium-length fine curly hair and take a size small in a cap. This fits me perfectly and there is a little more room for more hair if I had it. This is comfortable and does keep my hair dry in the shower. Unfortunately, I hate the way the bow looks on me.<br /><br />The current price of $15.99 is on the high side of competitively priced."
"YanJie Velvet Stretched Button Headband Holder for Nurse Mask Women/Girls/Men 6 Package, Leopard Black Gray Velvet ,Protect your Ear Headband 20inch (Leopard)",3.7,2.0,2022-02-13 05:20:34.467,,[],"{""Color"": ""Gray"", ""Age Range (Description)"": ""Adult"", ""Material"": ""Velvet"", ""Fabric Type"": ""Velvet"", ""Number of Items"": ""6"", ""Package Dimensions"": ""9.13 x 6.34 x 1.46 inches; 4.59 Ounces"", ""UPC"": ""788381037319""}","There are six (6) velvet headbands with buttons in this set. Each headband is narrow at only 8-3/4"" wide and certainly not as wide as pictured on the Amazon site. Also, there are buttons on each side of the ear area. When I attach my mask to these buttons, my face mask is no longer tight to my face because the slinky velvet material moves and does not stay in place.<br /><br />Overall, I do not like these at all. They will suffice as headbands only and not for mask attachment. The current price of $11.99 comes to $2 per band but I do not feel they are worth that price at all."
"Claw Hair Clips, IKOCO 6 Pack Jaw Clips Stylish Matte Plastic Strong Hold Hair Clamps Box Packaged for Thin Fine Hair with 10Pcs Black Hair ties (2.4Inch)",4.4,3.0,2022-01-15 06:41:44.214,,[],"{""Brand"": ""IKOCO"", ""Hair Type"": ""Fine"", ""Color"": ""Green,Grey"", ""Age Range (Description)"": ""Adult"", ""Material"": ""Plastic, Metal, Acrylic"", ""Product Dimensions"": ""6.25 x 4.25 x 2 inches; 5.89 Ounces""}","This is a very nice set of 6 clips, 10 hair ties, and a case. The clips are strong and do hold a generous amount of hair. I like the non-slippery feeling of the clip itself. The ties are ordinary but still functional. The reason I rated this 3 stars is because I also ordered this same set with the blue clips and tan ties. One of the clips in that order broke immediately which tells me these won't last.<br /><br />The current price of $7.19 is reasonable for this set but just be aware that the clips will break easily because the plastic is not that strong. "
JPNK 4PCS Anti-Static Detangling Fine & Wide Tooth Shower Comb Set,4.1,4.0,2022-01-05 22:23:34.361,,[],"{""Material"": ""Plastic"", ""Brand"": ""JPNK"", ""Hair Type"": ""Wavy,Straight"", ""Unit Count"": ""1.00 Count"", ""Package Dimensions"": ""12 x 3.1 x 0.7 inches; 5.61 Ounces""}","This is a nice set of combs--one wide-tooth and one sort of fine-tooth with two regularly-spaced ones. I know others mentioned that they found the combs to be sharp on the edges when combing. The one wide-tooth comb has blunted tines but the other three have pointed tines. However, those pointed tine ones were not sharp on my scalp. I have short to medium fine curly hair and these passed through my hair easily (wet or dry) and I did not feel scratched. I actually like the points massaging my scalp because on the combs I received, they were not super sharp.<br /><br />Unfortunately, I cannot tell if this set is wooden as it claims. It is possible they are wooden but because they are highly polished, they feel and look like plastic. I attend craft shows and it is possible to get a plastic feel and look to wood, so unless I broke one of the combs in half (which I am unwilling to do), I cannot tell. I still think the current price of $9.99 is reasonable even they are plastic."
"Reusable Shower Cap for Women – Leakproof, Nonslip Hair Cap for Shower w/ Comfy Flexiband – Soft, Breathable Shower Caps for Women Reusable Waterproof – Durable, Heavy Duty Shower Cap by SMPL OBJECTS (Marble)",4.5,5.0,2020-02-05 18:27:45.260,19.99,"['DON’T RISK RUINING YOUR HAIRSTYLE with LEAKY plastic hair caps that DON’T FIT. The SMPL OBJECTS Shower Cap is uniquely designed with our LEAKPROOF, nonslip silicone Forehead Strip, keeping your waterproof shower cap SECURELY IN PLACE without leaving creases. Made to fit head sizes up to a 24” circumference, this hair shower cap features our elastic Flexiband for THE PERFECT COMFY FIT.', 'THE AVERAGE SHOWER HAIR CAP is poorly made with flimsy materials, FALLING APART after a few uses. Crafted out of DURABLE, 100% waterproof polyester with a LIGHTWEIGHT, BREATHABLE feel, our washable shower cap is SOFT TO THE TOUCH and resistant to wrinkling & tearing. So you can count on it for LONG-LASTING PROTECTION against moisture – and say buh-bye to the WASTEFUL CYCLE of plastic hair caps.', 'MAKE EVERY SHOWER A LUXURY – Our quality-made womens shower caps help MAINTAIN YOUR BLOWOUT, natural curls, or whatever hairstyle you rock by LOCKING OUT MOISTURE in the shower. Not only will your follicles benefit from LESS FREQUENT WASHINGS, our shower bonnet will also eliminate the EXTRA TOUCH-UPS you would normally have to do post-shower – SAVING TIME, and saving your mane from EXCESS HEAT.', 'THE ULTIMATE BEAUTY GIFT – in a CHIC, CHARMING PACKAGE. In your choice of 5 VIBRANT PATTERNS, this shower cap for long hair, medium hair, and short hair has a gorgeous retro look that’s SLEEK & STREAMLINED compared to other bulky hair caps for women. Our head cap bonnets make perfect STOCKING STUFFERS, White Elephant gifts, birthday gifts for Mom, or centerpieces for a luxurious SPA GIFT BASKET!', 'At SMPL OBJECTS, we believe self-care is essential to your wellness and beauty – inside and out. As a woman-owned, woman-operated business based in Toronto, we make our reusable shower caps with only the best materials and craftsmanship. Your satisfaction is our top priority. If you don’t love your adult shower cap, our team is standing by to help.FRIENDLY: Go green with this washable, reusable shower cap that helps protect the environment.']","{""Brand"": ""SMPL objects"", ""Material"": ""Polyester"", ""Age Range (Description)"": ""Adult"", ""Pattern"": ""Marble"", ""Number of Items"": ""1"", ""Package Dimensions"": ""9.21 x 6.97 x 0.67 inches; 0.63 Ounces"", ""Manufacturer"": ""SMPL Objects"", ""Country of Origin"": ""China""}","It’s great, feels perfect and does not permit my hair to get wet!"
"BEN & ANNA Vanilla Orchid Deodorant, 60 GR",3.4,2.0,2015-12-02 18:46:51.000,11.67,[],"{""Brand"": ""BEN & ANNA"", ""Scent"": ""Vanilla Orchid"", ""Number of Items"": ""1"", ""Unit Count"": ""2.12 Ounce"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""1.57 x 1.57 x 4.92 inches; 2.12 Ounces"", ""Item model number"": ""BA22027"", ""Manufacturer"": ""BEN & ANNA""}","Dry, crumbly and impossible to even get on.  Smells were not my favorite.  Won’t buy again."
"OSRSR Cryo Sticks,Unbreakable Stainless Steel Beauty Ice Facial Massage Tools for Woman,Skin Case Ice Globes Cryo Spoons,Cooling Globes Cold Globes for Face,Eyes & Neck",4.5,5.0,2014-12-13 06:38:00.000,17.49,"['PREMIUM QUALITY ICE GLOBES: OSRSR cryo sticks for facial are made from 304 stainless steel and filled with non-toxic cooling gel. So they are no happen break, durable and stays cold for long!', 'PROFESSIONAL CRYO FACIAL THERAPHY: The ice globes for face can reduce puffiness, shrink pores, soothes inflammations, swollen eyes and dark circles, help promote blood circulation. You will feel like you brought your facial at home.', 'RELIEVE YOUR STRESS: The cooling globes for face help with tightening the skin and removes fatigue. This Cryo facial massage tool is contributing to the repair and regeneration of skin cell and stimulate collagen.', 'SAFE & EASY TO USE: Place the cold globes for facials in the freezer or refrigerator for 2 hours and then use the facial globes for up to 5-6 hours, Pair over your creams or other skin care products!', 'ELEGANTLY PACKAGE: 2 PC facial massage cryo sticks and use instruction with Storage Case in Luxury Box. OSRSR cold rollers make the perfect birthday or Christmas present for women mom wife Girlfriend. Perfect as a gift for your loved ones and even for yourself!']","{""Material"": ""Stainless Steel"", ""Brand"": ""OSRSR"", ""Water Resistance Level"": ""Not Water Resistant"", ""Package Dimensions"": ""7.91 x 5.63 x 2.24 inches; 11.68 Ounces"", ""Item model number"": ""OSRSR021"", ""UPC"": ""726324604273"", ""Manufacturer"": ""OSRSR""}","These shiny facial massage cryo sticks chill quickly, and I love that they come packaged within a clear plastic storage case with an instruction card! You can actually hear the anti-freeze/non-toxic liquid gel floating and bobbing around inside each stainless steel spoon/orb, and I love the ergonomic shape of each tool! The brightly colored turquoise handle tips help protect my fingers from the cold, and these futuristic-looking devices sit and balance nicely on various parts of my face! They do a great job of reducing swelling, puffiness, and fluid retention, and I think they’d make an affordable and unique gift for fans of at-home, cold therapy techniques! ☃️"
"Organic Sweet Almond Oil and Fractionated Coconut Oil Bundle for Hair and Skin, 100% Pure and Natural, Hexane-Free, Moisturizing, For Healthy Skin, Silky Hair, Multiuse Body Oil, 16 fl. Oz X 2",4.5,5.0,2013-12-10 01:59:01.000,,[],"{""Brand"": ""Shiny Leaf"", ""Scent"": ""Almond Oil and Fractionated Coconut"", ""Item Form"": ""Oil"", ""Unit Count"": ""32.00 Fl Oz"", ""Number of Items"": ""2"", ""Package Dimensions"": ""8.62 x 5.04 x 2.48 inches; 2.23 Pounds"", ""UPC"": ""781584950669""}","I am finding SO many uses for Shiny Leaf's coconut and sweet almond oil! I do have some experience with coconut oil but this is my first time using sweet almond oil.  Thanks the labels on the bottles, reviews and internet searches, I'm finding SO many ways to use these oils...sometimes together, sometimes individually.<br /><br />Because I have terribly dry, sensitive skin, my main goal was to see how one or both oils could help protect my skin, especially now that winter has arrived and my skin is REALLY taking a beating.  Both oils work well to hydrate and moisturize, so I mixed a few ounces of each in a mist bottle. After I bathe, I mist  a combo of the oils over my skin to help hydrate and moisturize. The oils absorb quickly and do not leave an oily/greasy look OR feel to my skin.  I'm already seeing a decrease in my dry skin/itchy red patches of skin. I experience NO discomfort whatsoever when misting these oils onto my sensitive skin.  Both oils also work wonders on hair by moisturizing, hydrating, improving hair texture/strength, stimulate hair growth /thicken hair, and nourish the scalp to prevent dry, itchy flakes. In addition to using my combo of oils after bathing, I also give my hair a spray or two with the mister and sure enough, I'm seeing less hair in the drain and on my hairbrush after brushing. My hair is soft, smooth and shiny WITHOUT looking or feeling oily/greasy from the oil combo.<br /><br />I use the coconut oil (alone) to help remove makeup, under and around my eyes to soften and reduce fine lines, I rub a small amount into my scalp (as does my husband) to help stimulate hair growth, on the kid's faces after their baths to soften (especially in cold weather!), on my nail beds every couple of days and a light amount on any patches of eczema/red skin.  (It relieves the itching/burning and redness from eczema quickly!)<br /><br />I use the sweet almond oil (alone) on  dark circles under my eyes, a SMALL amount on split ends in my hair, a drop on chapped lips, I'm just starting to tinker with it for aromatherapy purposes.  I recently learned that it can help fade scars so I've begun to rub some sweet almond oil into a scar on my finger to see what happens. If it helps, I'll then move on to a small facial scar I have. I'm also trying something on my own; just started doing this a few days ago.  I get nosebleeds every single day, at least once a day, throughout the winter when the heat is on in the house. This started when I was 2 years old, I'm now 49 so I've experienced this my entire life.  I now rub a small amount of sweet almond oil under my nostrils before bed.  Since starting this, I continue to have nosebleeds. Yesterday, I had only one and it involved just a few drops of blood. I didn't whip through numerous tissues like normal.  ONE tissue took care of it. (that's huge for me!) I have NO clue if its just a coincidence or if the sweet almond oil is helping in any way but I'm going to continue using it.<br /><br />These oils are phenomenal! Both bottles are 16oz.  I love the fact that they have normal caps on them but pumps for each bottle are included as well.  The liquid of each is thinner oil than I expected, which I prefer.  Both absorb quickly. Neither has a scent.  I've found SO many uses for these oils, I can't wait to discover more. ( I'm SO happy with these oils, I recently purchased Shiny Leaf's biotin hair conditioner and cannot wait to try it! ) I find the price to be incredibly reasonable, especially since you're getting TWO bottles of oils! HIGHLY recommended!<br /><br />*FYI...the mist bottle on the end in my photo is NOT included! I used one of my  own mist bottles to combine both oils.  You will get both bottles AND pumps that you see in my photo, NOT the mist sprayer!"
