Product Title,average_rating,rating,timestamp,price,features,details,review
iPhone Photography For Dummies,4.5,4.0,2020-10-21 21:12:02.598,17.89,"['Create beautiful iPhone photos with the techniques found in this book', 'iPhone Photography For Dummies', "", shares the expertise of photography workshop instructor Mark Hemmings as he shows readers how to get stunning images using their favorite iPhone. By implementing Hemmings' simple techniques, you'll get professional-looking results in a fraction of the time you’d expect. You’ll learn to:"", 'Adjust camera settings', 'Adjust camera settings', 'Create majestic landscape images', 'Create majestic landscape images', 'Capture exciting action shots', 'Capture exciting action shots', 'Shoot beautiful portraits', 'Shoot beautiful portraits', 'Select an editing app', 'Select an editing app', 'Share and organize images', 'Share and organize images', 'Shoot photos comfortably while on the go', 'Shoot photos comfortably while on the go', 'Perfect for those who want to take breathtaking photos without investing in a top-of-the-line camera,', 'iPhone Photography For Dummies', 'takes the guesswork and luck out of creating beautiful imagery. It shows people without formal training in photography how to make meaningful and noticeable improvements in their shooting technique using either the latest iPhone model or older versions of the device.']","{""Publisher"": ""For Dummies; 1st edition (August 4, 2020)"", ""Language"": ""English"", ""Paperback"": ""336 pages"", ""ISBN 10"": ""1119687799"", ""ISBN 13"": ""978-1119687795"", ""Item Weight"": ""1.45 pounds"", ""Dimensions"": ""7.3 x 0.8 x 9.2 inches""}","I have an iphone and needed to learn to take better pictures. I began by reading through some of the hints in the book while looking on my phone. When I was ready to try the hints..I didnt have the button choice they were talking about..lol I did the list..opened the camera, click on the arrows to change the lens to take a selfie..so far so good..I was then to look for the "" selfie"" choice to take the photo but its not on my phone lol  I scrolled through everything.. I can take a regular selfie on "" photo"" but not like they say..guess Im dumber than other dummies... But thereis a lot of useful info maybe if you have a newer model."
Guilty Treasures,4.6,5.0,2016-03-06 22:14:29.000,6.99,[],"{""Publisher"": ""Annie's Fiction; First Edition (January 1, 2013)"", ""Hardcover"": ""256 pages"", ""Item Weight"": ""0.704 ounces"", ""Dimensions"": ""7 x 5 x 1 inches""}",I LOVE this series11
"The Lamps of Louis Comfort Tiffany: New, smaller format",4.4,5.0,2012-12-12 00:56:20.000,35.0,"['NOTE', ': This is a HARDCOVER BOOK and not a table lampLouis Comfort Tiffany (1848–1933) found inspiration in the gardens of Laurelton Hall, his vast country estate on Long Island’s North Shore. There, Tiffany carefully drew and painted the flowering trees, vines, flowers, and fauna that were the chief ornaments of his prized glass lamps. This sumptuous volume features 70 lamps, photographed by Colin Cooke using his own specially developed techniques that reveal Tiffany’s mastery of glassmaking and metal work. The authors relate the chief decorative themes in Tiffany’s masterpieces to the work of other fin-de-siècle glassmakers and outline the making of Tiffany’s lamps, from freehand sketch to elegant finished form.Praise for', 'The Lamps of Louis Comfort Tiffany:', '""The publication of', 'The Lamps of Louis Comfort Tiffany', 'is a dazzling roundup of some of the beauties. The lamps--many are on view for the first time--are shown in full glory by gifted New York photographer Colin Cooke. This \'eye candy\' at its very best."" -', 'San Jose Mercury News', ""“The authors delve into Tiffany's inspiration, his garden on Long Island, and other works the Tiffany studio was producing; not to mention over 70 examples of some of the most amazing lamps you've ever seen. Definitely add this book to the shopping list, you won't be disappointed!” —"", 'Architect Design', 'blog']","{""Publisher"": ""Vendome Press; Illustrated edition (October 1, 2012)"", ""Language"": ""English"", ""Hardcover"": ""240 pages"", ""ISBN 10"": ""0865652961"", ""ISBN 13"": ""978-0865652965"", ""Item Weight"": ""3.05 pounds"", ""Dimensions"": ""8.75 x 1 x 10.5 inches""}","When [[ASIN:0865651639 The Lamps of Louis Comfort Tiffany]] was first published in 2005, I very much wanted a copy, but balked at the publisher's $75 retail price.  Imagine my delight when I learned that the publisher had reissued THE LAMPS OF LOUIS COMFORT TIFFANY in this smaller-format hardcover edition at a much more affordable $35 retail price! (Both editions are available for less than full retail price on Amazon.) This smaller-format edition of the book is 10.4"" x 8.7"" x 1"" and weighs 3 lbs.--in contrast to the original edition, which is 12.3"" x 10.1"" x 1.1"" inches and weighs 4.2 lbs.<br /><br />The photographs in this smaller-format book are gorgeous, and I doubt that either the photos or the text have suffered much, if at all, from the downsizing.  In fact, the less-hefty book is much easier to handle, if you're interested in actually reading the text, or in studying the lamp photographs closely.<br /><br />What I like most about this book is that it shows the complete lamps:  the lamps have both the Tiffany glass shades (e.g., Wisteria, Daffodil, Cobweb, Dragonfly) and the elaborate, organic, metal bases that Tiffany created to perfectly complement the shades. I also love the close-ups of portions of the shades, which reveal the qualities of the individual glass pieces that went into the shades.  And I enjoy inspecting the various photos of the Tiffany workshops, the Tiffany craftspeople, and Tiffany's homes.<br /><br />The book includes three background articles:  ""Tiffany's Studies of Lighting"" by Martin Eidelberg; ""Nature Is Always Beautiful"" by Martin Eidelberg; ""An Alliance of Arts and Crafts: Creating a Tiffany Leaded Shade"" by Martin Eidelberg and Alice Cooney Frelinghuysen.  However, the bulk of the book consists of a photo gallery of beautiful Tiffany lamps, with each lamp discussed in scholarly but readable commentary: ""Important Lamps by Louis Comfort Tiffany:  Lamps selected by Nancy A. McClelland and Lars Rachen, Commentary by Martin Eidelberg."
"Stashbuster Knits: Tips, Tricks, and 21 Beautiful Projects for Using Your Favorite Leftover Yarn",4.4,5.0,2011-11-16 23:57:04.000,14.71,"['There’s no such thing as too much yarn. \xa0 As renowned knitwear designer Melissa Leapman knows all too well, every knitter has a stash of yarn that they just can’t bear to part with: the one or two extra balls of yarn bought “just in case,” or the bits and pieces leftover from completed projects.', 'Stashbuster Knits', 'gives you the absolute best way to use—and enjoy—your treasured yarn collection guilt free. Leapman offers valuable step-by-step guidance on organizing and shopping your stash to inspire creative new knitting ideas and color combinations. Then she gives you 21 ingenious projects for men, women, children, and home that are designed so no one will ever guess they were made from odds and ends. Included are projects both large and small, from a glorious Fair Isle sweater for your favorite guy to a chic little scarf made with a Magic Ball. Each yarn weight has its own chapter, from super fine to super bulky, ensuring that knitters will find a way to use every piece of stored-up yarn. Filled with tips and hints on customizing projects and ideas to use even the tiniest bits of yarn, Leapman’s', 'Stashbuster Knits', 'will help transform your beloved stash into projects you’ll love even more. \xa0 So dive into your closets, dig into your bins, rifle through your drawers, and bring your precious yarn out of hiding. Let’s begin putting that stash to good use!']","{""Publisher"": ""Potter Craft (November 15, 2011)"", ""Language"": ""English"", ""Paperback"": ""144 pages"", ""ISBN 10"": ""0307586634"", ""ISBN 13"": ""978-0307586636"", ""Item Weight"": ""2.98 pounds"", ""Dimensions"": ""8.74 x 0.45 x 8.63 inches""}","Partial skeins and balls, left over from larger projects, are the bane of every knitter's existence.  The yarn is too good to throw out, but there's not enough to actually make anything.  However, this book solves the problem, with its many patterns for projects so well designed that, as author Melissa Leapman says, ""no one will ever know these projects were made from leftovers!""<br /><br />The attractive projects include (1) a charted ""jigsaw puzzle piece"" baby blanket; (2) geometrically-patterned bangle bracelets; (3) striped mittens, scarves, shawls, throws, and sweaters; (4) striped and patterned shopping, sample, and tote bags; (5) a Fair Isle yoked sweater and a Fair Isle vest; and (6) many single-color hats.  The projects are grouped in the book according to the yarn weights used:  fine, lightweight, worsted, or chunky.<br /><br />What I really like about this book is the lengthy introduction that discusses sorting yarns leftovers by weight and color, to ensure the best possible combinations for successful knitted fabrics.  Several pages, illustrated with color wheels, explain the scientific theory of color--including how to get good results from monochromatic color combinations, and from combinations of 2, 3, 4, 5, and 6 colors.  The book also includes explanations of how to join yarns together using standard knitting techniques, or using the ""Russian join"" (which uses a tapestry needle).  There is a nice discussion of how to put together a ""Magic Ball"" of short lengths of leftover yarns of different colors and textures (the ball is knitted up like regular yarn); as well as some discussion of yarn storage.<br /><br />Nearly all of the projects are fairly easy to knit.  (The Fair Isle garments, the intarsia sample bag, and the charted puzzle-piece blanket will require moderate knitting experience).  Note, though, that whether you will have enough yarn already on hand to knit many of the larger projects will depend entirely on the actual size and makeup of your personal yarn stash!  For me, this book rates an unqualified 5 stars."
iPhone Photography For Dummies,4.5,4.0,2020-12-09 19:25:28.346,17.89,"['Create beautiful iPhone photos with the techniques found in this book', 'iPhone Photography For Dummies', "", shares the expertise of photography workshop instructor Mark Hemmings as he shows readers how to get stunning images using their favorite iPhone. By implementing Hemmings' simple techniques, you'll get professional-looking results in a fraction of the time you’d expect. You’ll learn to:"", 'Adjust camera settings', 'Adjust camera settings', 'Create majestic landscape images', 'Create majestic landscape images', 'Capture exciting action shots', 'Capture exciting action shots', 'Shoot beautiful portraits', 'Shoot beautiful portraits', 'Select an editing app', 'Select an editing app', 'Share and organize images', 'Share and organize images', 'Shoot photos comfortably while on the go', 'Shoot photos comfortably while on the go', 'Perfect for those who want to take breathtaking photos without investing in a top-of-the-line camera,', 'iPhone Photography For Dummies', 'takes the guesswork and luck out of creating beautiful imagery. It shows people without formal training in photography how to make meaningful and noticeable improvements in their shooting technique using either the latest iPhone model or older versions of the device.']","{""Publisher"": ""For Dummies; 1st edition (August 4, 2020)"", ""Language"": ""English"", ""Paperback"": ""336 pages"", ""ISBN 10"": ""1119687799"", ""ISBN 13"": ""978-1119687795"", ""Item Weight"": ""1.45 pounds"", ""Dimensions"": ""7.3 x 0.8 x 9.2 inches""}","This book ended up being rewarding for us.  I was expecting a reference of buttons and options with a few nice tips and it was pretty much that, but also with a lot of photography, lighting and compositional hints added in.  I did learn a couple of things about turning off live mode and using the side buttons for releasing the shudder, but that part was just the first 60 pages.  Beyond that it breaks up into genres of photography from landscapes and travel to sports and product photography.  Each area gives some solid general tips, but also shows how to get the most out of your iphone.  It is filled with hints like switching to portrait modes to narrow the depth of field, but also has some questionable ""help"" with things like how to pick the right fanny pack for travel.  But all in all, We found this read well worth it."
Cast in Flame (Chronicles of Elantra),4.6,4.0,2014-12-08 18:20:48.000,14.95,"[""Any day that starts with dragon arguments is going to be bad\xa0Kaylin returned from the West March in one piece. Now that piece is fraying. She's not at home in the Imperial Palace—and she never intends to be. All she wants is normal garden-variety criminals and a place of her own. Of course, normal in her new life involves a dragon as a roommate, but she can handle that.\xa0She can't as easily handle the new residents to the city she polices, because one of them is Nightshade's younger brother. On a night when she should be talking to landlords in perfectly normal buildings, she's called to the fief—by Teela. A small family disagreement has become a large, complicated problem: Castle Nightshade's latent magic is waking.\xa0And it's not the only thing.Look for"", 'CAST IN HONOR', ', the next dark and dangerous tale in', 'The Chronicles of Elantra', 'by Michelle Sagara.']","{""Publisher"": ""MIRA; Original edition (July 29, 2014)"", ""Language"": ""English"", ""Paperback"": ""496 pages"", ""ISBN 10"": ""0778317080"", ""ISBN 13"": ""978-0778317081"", ""Item Weight"": ""12.8 ounces"", ""Dimensions"": ""5.46 x 1.27 x 8.23 inches""}","Tremendously entertaining, a little mystery, a little magic, a bit of romance and some epic world building. New to me author. I ordered this title because I liked the cover, now I am going back to the library in hopes of ordering the NINE other titles in the series - I read the summaries of the previous titles in the series to help me figure out what was what - I included them below for anyone who mught be new to the series:<br /><br />Cast in Shadow Book #1 (2006): Seven years ago Kaylin fled the crime-riddled streets of Nightshade, knowing that something was after her. Children were being murdered, and all had the same odd markings that mysteriously appeared on her own skin. Since then, she's learned to read, she's learned to fight and she's become one of the vaunted Hawks who patrol and police the City of Elantra. Alongside the winged Aerians and immortal Barrani, she's made a place for herself, far from the mean streets of her birth. But children are once again dying, and a dark and familiar pattern is emerging, Kaylin is ordered back into Nightshade with a partner she knows she can't trust, a Dragon lord for a companion and a device to contain her powers, powers that no other human has. Her task is simple, find the killer, stop the murders, and survive the attentions of those who claim to be her allies!<br /><br />Cast in Courtlight Book 2 (2007): In Elantra, a job well done is rewarded with a more dangerous task. And so, after defeating a dark evil, Kaylin must enter a place of deceit and treachery. A world where silk and jewels hide deadly secrets. Kaylin goes before the Barrani High Court, where a misspoken word brings sure death. And Kaylin's never been known for her grace or manners. But the High Lord's heir is suspiciously ill and Kaylin's healing magic is the only shot at saving him, if she manages to dodge the traps laid for her. Only to discover that the healing might turn out to be the simplest of the tasks before her.<br /><br />Cast in Secret, Book 3 (2008): Still avoiding magic whenever possible, Private Kaylin Neya relished investigating a run-of-the-mill theft. Until she found out the mysterious stolen box had been taken from Elani Street, where the mages and charlatans mingled, and it was sometimes hard to tell the difference between the two. And since the box was ancient, without a keyhole, and held tremendous darkness inside, Kaylin knew unknown forces were again playing with her destiny--and her life.<br /><br />Cast in Fur, Book 4 (2008): When a minority race of telepaths is suspected of causing a near-devastating tidal wave, Private Kaylin Neya is summoned to Court and into a PR nightmare. To ease racial tensions, the emperor has commissioned a play, and the playwright has his own ideas about who should be the focus. But Kaylin works her best magic behind the scenes, and though she tries to stay neutral, she is again drawn into a world of politics and murder. To make matters worse, Marcus, her trusted sergeant, gets stripped of his command, leaving Kaylin vulnerable. Now she's juggling two troubling cases, and even magic's looking good by comparison. But then nobody ever said life in the theater was easy.<br /><br />Cast in Silence, Book 5 (2009): A member of the elite Hawk force that protects the City of Elantra, Kaylin Neya has sacrificed much to earn the respect of the winged Aerians and immortal Barrani she works alongside. But the mean streets she escaped as a child aren't the ones she's vowed to give her life guarding. Those were much darker. Kaylin's moved on with her life and is keeping silent about the shameful things she's done to stay alive. But when the city's oracles warn of brewing unrest in the outer fiefdoms, a mysterious visitor from Kaylin's past casts her under a cloud of suspicion. Thankfully, if she's anything, she's a survivor.<br /><br />Cast in Chaos, Book 6 (2010): Kaylin Neya is a Hawk, part of the elite force tasked with keeping the City of Elantra safe. Her past is dark, her magic uncontrolled and her allies unpredictable. And nothing has prepared her for what is coming, when the charlatans on Elani Street suddenly grow powerful, the Oracles are thrown into an uproar and the skies rain blood. The powerful of Elantra believe that the mysterious markings on Kaylin's skin hold the answer, and they are not averse to using her, how ever they have to, in order to discover what it is. Something is coming, breaking through the barriers between the worlds. But is it a threat that Kaylin needs to defend her city against or has she been chosen for another reason entirely?<br /><br />Cast in Ruin, Book 7 (2011): Seven corpses are discovered in the streets of a Dragon's fief. All identical, down to their clothing. Kaylin Neya is assigned to discover who they were, who killed them, and why. Is the evil lurking at the borders of Elantra preparing to cross over? At least the investigation delays her meeting with the Dragon Emperor. And as the shadows grow longer over the fiefs, Kaylin must use every skill she's ever learned to save the people she's sworn to protect. Sword in hand, dragons in the sky, this time there's no retreat and no surrender.<br /><br />Cast in Peril, Book 8 (2012): It has been a busy few weeks for Private Kaylin Neya. In between angling for a promotion, sharing her room with the last living female Dragon and dealing with more refugees than anyone knew what to do with, the unusual egg she'd been given began to hatch. Actually, that turned out to be lucky, because it absorbed the energy from the bomb that went off in her quarters. So now might be the perfect time to leave Elantra and journey to the West March with the Barrani. If not for the disappearances of citizens in the fief of Tiamaris, disappearances traced to the very Barrani Kaylin is about to be traveling with.<br /><br />Cast in Sorrow, Book 9 (2013): The Barrani would be happy to see her die. So Kaylin Neya is a bit surprised by her safe arrival in the West March. Especially when enemies new and old surround her and those she would call friends are equally dangerous. And then the real trouble starts. Kaylin's assignment is to be a ""harmoniste"" (one who helps tell the truth behind a Barrani Recitation). But in a land where words are more effective than weapons, Kaylin's duties are deadly. With the wrong phrase she could tear a people further asunder. And with the right ones, well, then she might be able to heal a blight on a race. If only she understood the story."
Meat Eater: Adventures from the Life of an American Hunter,4.8,4.0,2012-11-25 02:52:05.000,49.0,"['“Revelatory . . . With every chapter, you get a history lesson, a hunting lesson, a nature lesson and a cooking lesson. . . .', 'Meat Eater', 'offers an overabundance to savor.”—', 'The New York Times Book Review', 'Steven Rinella grew up in Twin Lake, Michigan, the son of a hunter who taught his three sons to love the natural world the way he did. As a child, Rinella devoured stories of the American wilderness, especially the exploits of his hero, Daniel Boone. He began fishing at the age of three and shot his first squirrel at eight and his first deer at thirteen. He chose the colleges he went to by their proximity to good hunting ground, and he experimented with living solely off wild meat. As an adult, he feeds his family from the food he hunts.', 'Meat Eater', 'chronicles Rinella’s lifelong relationship with nature and hunting through the lens of ten hunts, beginning when he was an aspiring mountain man at age ten and ending as a thirty-seven-year-old Brooklyn father who hunts in the remotest corners of North America. He tells of having a struggling career as a fur trapper just as fur prices were falling; of a dalliance with catch-and-release steelhead fishing; of canoeing in the Missouri Breaks in search of mule deer just as the Missouri River was freezing up one November; and of hunting the elusive Dall sheep in the glaciated mountains of Alaska.  \xa0 Through each story, Rinella grapples with themes such as the role of the hunter in shaping America, the vanishing frontier, the ethics of killing, the allure of hunting trophies, the responsibilities that human predators have to their prey, and the disappearance of the hunter himself as Americans lose their connection with the way their food finds its way to their tables. Hunting, he argues, is intimately connected with our humanity; assuming responsibility for acquiring the meat that we eat, rather than entrusting it to proxy executioners, processors, packagers, and distributors, is one of the most respectful and exhilarating things a meat eater can do. \xa0 A thrilling storyteller with boundless interesting facts and historical information about the land, the natural world, and the history of hunting, Rinella also includes after each chapter a section of “Tasting Notes” that draws from his thirty-plus years of eating and cooking wild game, both at home and over a campfire. In', 'Meat Eater', 'he paints a loving portrait of a way of life that is part of who we are as humans and as Americans.', 'Praise for', 'Meat Eater', '“Full of empathy and intelligence . . . In some sections of the book, the author’s prose is so engrossing, so riveting, that it matches, punch for punch, the best sports writing.”—', 'The Wall Street Journal', '“Steven Rinella is one of the best nature writers of the last decade. . . . This book was a page-turner.”—Tim Ferris \xa0 “Rinella’s writing is unerringly smart, direct, and sharply detailed.”—', 'The Boston Globe', '“A unique and valuable alternate view of where our food comes from.”—Anthony Bourdain']","{""Publisher"": ""Spiegel & Grau (September 4, 2012)"", ""Language"": ""English"", ""Hardcover"": ""256 pages"", ""ISBN 10"": ""0385529813"", ""ISBN 13"": ""978-0385529815"", ""Item Weight"": ""1.15 pounds"", ""Dimensions"": ""6.5 x 0.75 x 9.5 inches""}","Lucky for me it's more than a cookbook.<br /><br />The story of a modern Daniel Boone, growing up in Michigan, one of three sons of a hunter.  Beginning at age eight when he shot a squirrel, to age 13 his first deer, then hunting his way through college, a career as a fur trapper, hunting sheep in Alaska, canoeing the Missouri River for deer and ending in Brooklyn age 37. Brooklyn?<br /><br />I especially liked that I share his disgust at catch & release fishing - if you fish it, you have to eat it - anything else is sadism (my words).<br /><br />My brother in law is the cook in the family and I wanted to see if this would be a good gift for him and I struck pay dirt following each chapter are ""Tasting Notes"" where the author speaks of cooking wild game.<br /><br />I also enjoyed it for the history of the land he has hunted as well as the history of the hunt (I too was a big Daniel Boone fan growing up!).<br /><br />I think more pictures (everything but dead things) would have made this a keeper."
Lesbian Sex,4.4,5.0,2006-10-24 03:42:25.000,12.99,[],"{""Publisher"": ""Bookpeople; First Edition (January 1, 1984)"", ""Language"": ""English"", ""Paperback"": ""309 pages"", ""ISBN 10"": ""0933216130"", ""ISBN 13"": ""978-0933216136"", ""Item Weight"": ""1.15 pounds"", ""Dimensions"": ""6 x 0.75 x 9 inches""}","I bought this book because it is recommended reading by Tee A. Corinne in her anthology `Lovers - love and sex stories'.<br /><br />From the back of the book - This book was conceived in order to create a body of knowledge about lesbian sexuality.  Change, pleasure, and responsibility are key words in the examination of this subject. The core of the book is the homework section, including specific sexual exercises ""designed to help you. All of them have been tried by garden-variety lesbians similar to you and all of them have worked for somebody.""  This is a practical book, focusing on problems and how to solve them.  Some of the topics covered are:<br /><br />Problems, Orgasm, Physiology, Internalized Homophobia, Fantasies, Sex and the Rest of our Lives, What We Do in Bed, Exercises.<br /><br />From the publisher - A best-selling, comprehensive book on lesbian sexuality, covering both theory and practical exercises. Subjects include coming out, disability, motherhood, relationships, aging and more.  Exercises, examples, and theory concerning motherhood, coming out, relationships, and aging."
Cast in Flame (Chronicles of Elantra),4.6,5.0,2017-02-24 04:37:09.000,14.95,"[""Any day that starts with dragon arguments is going to be bad\xa0Kaylin returned from the West March in one piece. Now that piece is fraying. She's not at home in the Imperial Palace—and she never intends to be. All she wants is normal garden-variety criminals and a place of her own. Of course, normal in her new life involves a dragon as a roommate, but she can handle that.\xa0She can't as easily handle the new residents to the city she polices, because one of them is Nightshade's younger brother. On a night when she should be talking to landlords in perfectly normal buildings, she's called to the fief—by Teela. A small family disagreement has become a large, complicated problem: Castle Nightshade's latent magic is waking.\xa0And it's not the only thing.Look for"", 'CAST IN HONOR', ', the next dark and dangerous tale in', 'The Chronicles of Elantra', 'by Michelle Sagara.']","{""Publisher"": ""MIRA; Original edition (July 29, 2014)"", ""Language"": ""English"", ""Paperback"": ""496 pages"", ""ISBN 10"": ""0778317080"", ""ISBN 13"": ""978-0778317081"", ""Item Weight"": ""12.8 ounces"", ""Dimensions"": ""5.46 x 1.27 x 8.23 inches""}",I loved this series.
Wicked Appetite (Lizzy and Diesel),4.3,4.0,2015-12-31 21:35:51.000,4.94,"[""Life in Marblehead has had a pleasant predictability, until Diesel arrives. Rumor has it that a collection of priceless ancient relics representing the Seven Deadly Sins have made their way to Boston's North Shore. Partnered with pastry chef Lizzie Tucker, Diesel bullies and charms his way through historic Salem to track them down―and his criminal mastermind cousin Gerewulf Grimorie. The black-haired, black-hearted Wulf is on the hunt for the relic representing gluttony. Caught in a race against time, Diesel and Lizzie soon find out that more isn't always better, as they battle Wulf and the first of the deadly sins. With delectable characters and non-stop thrills that have made Janet Evanovich a household name,"", 'Wicked Appetite', 'will leave you hungry for more.']","{""Publisher"": ""St. Martin's Paperbacks; Special edition, Value Promotion (June 2, 2015)"", ""Language"": ""English"", ""Mass Market Paperback"": ""352 pages"", ""ISBN 10"": ""1250074274"", ""ISBN 13"": ""978-1250074270"", ""Item Weight"": ""6.4 ounces"", ""Dimensions"": ""4.2 x 0.93 x 6.83 inches""}",Not as developed as Stephanie but I like the characters so far.
