Product Title,average_rating,rating,timestamp,price,features,details,review
"Iphone 8 Detachable Magnetic Wallet Case with Strap,Auker 2 in 1 7 Card Holder Flip Leather Shockproof Full Body Protective Purse Case with Hidden Wallet/Money Pocket&Fold Kickstand for Women iphone 7",4.4,5.0,2020-06-26 18:20:05.376,15.98,"['▶[COMPABILITY & WARRANTY]: ONLY compatible with [IPHONE 8/7 4.7 inch INCH],not for iphone 8 plus/7 plus 5.5 inch .Does NOT come with built in screen protector! We recommend you use one pc or glass screen protector to provide more protection for your touch screen.', '▶[MULTI FUNCTION&DETACHABLE WALLET CASE]: 7 card slot, 2 cash pockets, 1 mobile phone case,1 wrist strap, make your life and work more convenient. Professional Removable Wallet Design, Allowing you to carry multiple credit cards, family photo and cash,both a wallet and one phone case! Meeting your all day needs outside. Suitable for Men, Women, girls and Teens of all ages.', '▶[POWERFUL MAGNETIC BACK COVER]: When you put the mobile phone case into the magnetic back cover, it will be firmly fixed but quite easy to detach,and the magnet will not affect the use of mobile phones, credit cards and so on.Please take off the case when you need wireless charging.', '▶[EASY&CONVENIENT PAYMENT]: Auker card holder wallet is book design, easy to grip and hold 9 cards,extremely convenient to shop and pay via credit cards or cash. Absolutely a wonderful case for women and men who hate bulky bags.', '▶[KICKSTAND FEATURE]: AUKER wallet pu leather wallet case can switched to a horizontal position and act as a firm stand; perfect for entertainment or streaming. Watching a movie or video on your phone will be easier with this cover case.']","{""Package Dimensions"": ""5.9 x 3 x 1 inches"", ""Item Weight"": ""3.2 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 132308, ""Flip Cell Phone Cases"": 10117}, ""Special features"": ""Kickstand, Magnetic, Shock-Absorbent, Card Slot"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Flip"", ""Color"": ""Rose Gold2"", ""Whats in the box"": ""Kickstand, Card Holder"", ""Manufacturer"": ""Auker"", ""Date First Available"": ""December 28, 2019"", ""Brand"": ""Auker"", ""Compatible Phone Models"": ""Iphone 8/iphone 7, IPhone 8"", ""Material"": ""Faux Leather, Leather""}",I got this for my mom and she loves it! It's a great wallet and durable for sure! The phone hangs on really well. Its cute too!
"suily Cell Phone Belt Holster Waist Pouch, 5.5"" Universal Vertical Leather Flip Cover Phone Belt Clip Case Magnetic Closure Pouch for iPhone 6 Plus/7 Plus/8 Plus Samsung Android Phones(Brown)",4.2,5.0,2019-08-10 00:11:45.315,13.99,"[""High Capacity: Plus size belt clip case holster pouch cover for 5.5' cellphones (such as iphone 6S Plus/7 Plus/8 Plus, Samsung Galaxy S8, Huawei Mate8 etc) with thick case on. Note: It would be a little big if you just put naked phone in."", ""Approximate Interior Dimensions: 6.37 in X 3.14 in X 0.55 in/ 162x80x14mm,simple and elegant look, Allow belt width 1.77'."", 'Strong magnetic closure to secure phone in pouch holds the phone securely in place. Classic design with soft and breathable inner lining helps protecting your new phone from crack and scratches.', 'Equipped with one durable push down belt clip plus additional secure belt loops with buckle.', 'Business style design, black color and durable material is perfect for business gift and present for your friends.']","{""Product Dimensions"": ""6.38 x 3.15 x 0.55 inches"", ""Item Weight"": ""0.023 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 41422, ""Cell Phone Holsters"": 1028}, ""Is Discontinued By Manufacturer"": ""Yes"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Case"", ""Color"": ""Brown"", ""Whats in the box"": ""Belt Clip"", ""Manufacturer"": ""suily"", ""Date First Available"": ""February 26, 2019"", ""Material"": ""Leather"", ""Brand"": ""suily"", ""Compatible Phone Models"": ""Apple iPhone 6, Apple iPhone 6 Plus, Samsung Galaxy S8, Apple iPhone 8 Plus, Apple iPhone 6S Plus, Samsung Galaxy S8 PlusApple iPhone 6, Apple iPhone 6 Plus, Samsung Galaxy S8, Apple iPhone 8 Plus, Apple iPhone 6S Plus, Samsung Galaxy S8 Plus  See more"", ""Fastener Type"": ""Clip On, Magnetic""}","This holder is great!<br />I wish I would have bought it years ago. No more worrying about losing my phone out of my pocket, or sitting on it and breaking it. No more laying my phone down, and having to look for it. I wondered if I could here it ring, but no problems there. Great buy!"
"ULAK iPhone 6S Case, Luxury Chrome Aluminum Coating Hard Cover with PC Bumper for Apple iPhone 6 & 6S 4.7 inch (Silver)",4.3,3.0,2015-01-21 01:18:43.000,,"['iPhone 6s case compatible with iPhone 6s 4.7 inch 2015 Release and iPhone 6 4.7 inch 2014 Release, will not fit iPhone 6 Plus 5.5 inch or iPhone 6S plus 5.5 inch', 'iPhone 6S hard case made from brushed metal chrome aluminum and inner rigid PC, providing protection for your iPhone while looking slim and stylish', 'Brushed metal case provides comfortable hand grip and excellent tactile feeling', 'Slim, thin and lightweight design perfectly protects your iPhone 6S & iPhone 6 and gives it a professional, sleek, modern look', 'Fits perfectly on your iPhone 6 / iPhone 6S. Full access to ports, and sensitive button covers allow responsive presses']","{""Package Dimensions"": ""8 x 4 x 0.6 inches"", ""Item Weight"": ""4 ounces"", ""Item model number"": ""3309280"", ""Is Discontinued By Manufacturer"": ""No"", ""Special features"": ""Lightweight"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Bumper"", ""Color"": ""Silver"", ""Manufacturer"": ""ULAK"", ""Date First Available"": ""August 19, 2014"", ""Brand"": ""ULAK"", ""Compatible Phone Models"": ""iphone-6-4.7-inch, iPhone 6S, iPhone-6S-Case, iphone-6S-4.7-inch, iPhone 6"", ""Material"": ""Aluminum,Polycarbonate,Plastic,Hard Case""}",Not much protection.
"NANW 4-Pack Screen Protector Case Compatible with Fitbit Sense/Versa 3, Soft TPU Plated Bumper Full Cover Protective Cases for Sense Smartwatch [Scratch-Proof] (Black/Charcoal/Silver/Rosegold)",4.4,5.0,2021-04-22 14:20:09.358,9.99,"[""Perfect protective case with screen protector created for 2020 newly Sense & Versa 3 ONLY (Not for Versa 2, Versa,Versa Lite Edition and Versa Special Edition), , fits from weekends to workouts, that's ready for anything."", '360 degree full protection, keep your watch away from scratches. 99% high transparency, provides a better viewing experience.', ""NANW screen protector case for Versa 3 is easy to install and take off, you don’t need to remove versa 3 bands when installing the case, and also don't need to take off the sense cover while charging."", ""The versa 3 case cover made from high quality TPU skin-friendly material and it is protected on all sides. Precise hole cutouts make it easy access to all buttons. Doesn't fall off when working out or yard working. And please use a cloth to keep it dry if water, sweat or moisture gets underneath it."", 'NANW came with 4 pack sense screen protector cases. Multi-color case covers for you to choice. NOTE: Please use a dry cloth to clean if water, sweat, moisture gets underneath the case as this may affect touch responsiveness.']","{""Package Dimensions"": ""6.97 x 4.57 x 0.55 inches"", ""Item Weight"": ""0.634 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 1951, ""Smartwatch Screen Protectors"": 57}, ""Special features"": ""Shatter_Resistant"", ""Human Interface Input"": ""Buttons"", ""Form Factor"": ""Case"", ""Color"": ""Black/Charcoal/Silver/RoseGold"", ""Manufacturer"": ""NANW"", ""Date First Available"": ""August 18, 2020"", ""Brand"": ""NANW"", ""Compatible Devices"": ""Smartwatches"", ""Shell Type"": ""Soft""}",Excellent protector! A lot better than some I've purchased! You will not be disappointed.
"Sport Band Compatible with Apple Watch Bands 38mm 40mm 41mm 42mm 44mm 45mm for Women Men,Floral Silicone Printed Fadeless Pattern Strap Band for iWatch Series 3, Series 5,Series 6,Series 4,Series 7",4.6,5.0,2021-03-06 04:49:10.527,7.98,"['Buckle closure', '✅Compatible Models:AMSKY floral bands Compatible for Apple watch 38mm/40mm/41mm/42mm/44mm/45mm width;Apple watch series 7 series 6 ,series 5 ,series 4 , series 3 ,series 2 , Apple watch SE.Note: Just sport band, No watch included', '✅Available Size:38/40/41mm S/M:Suitable for 5.1 ""-7.1"" (130mm-180mm) wrist; 38/40/41mm M /L:Suitable for 150mm to 200mm (5.9 ""-7.9"") wrist; 42/44/45mm S/M: Suitable for 140 mm - 190 mm (5.5 ""-7.5"") wrist; 42/44/45mm M/L: Suitable for 160mm to 210mm (6.3 ""-8.3"") wrist.please measure your wrist or ask our customer service before your order this band.', '✅New Design: Thoes iWatch bands for women made of the premium silicone material,with the advanced printing craft,specializing in the issues of fading and peeling off. flexible,Sweat & water resistant and durable,the apple watch band lugs on both sides, locking onto Apple watch precisely and securely, easy to installand remove.', '✅Multiple Beautiful Pattern Print:Have various fashinable and beautiful pattern,decorate your apple watch and your mood,suitable for many occasions and best gift for women, girls and frinds.Give your apple watch a lovely complement and change the look of your watch just by swapping out straps.', '✅24h Customer Service: Thank you so much for choosing AMSKY watch band! Any problems about our floral iwatch bands, please feel free to contact us. Customer’s happy shopping experience is the most important for us.']","{""Date First Available"": ""August 24, 2022"", ""Manufacturer"": ""AMSKY""}",Cute watch band.  I love the tie dye for Spring!
"NANW 4-Pack Screen Protector Case Compatible with Fitbit Sense/Versa 3, Soft TPU Plated Bumper Full Cover Protective Cases for Sense Smartwatch [Scratch-Proof] (Black/Charcoal/Silver/Rosegold)",4.4,5.0,2022-12-15 19:58:24.277,9.99,"[""Perfect protective case with screen protector created for 2020 newly Sense & Versa 3 ONLY (Not for Versa 2, Versa,Versa Lite Edition and Versa Special Edition), , fits from weekends to workouts, that's ready for anything."", '360 degree full protection, keep your watch away from scratches. 99% high transparency, provides a better viewing experience.', ""NANW screen protector case for Versa 3 is easy to install and take off, you don’t need to remove versa 3 bands when installing the case, and also don't need to take off the sense cover while charging."", ""The versa 3 case cover made from high quality TPU skin-friendly material and it is protected on all sides. Precise hole cutouts make it easy access to all buttons. Doesn't fall off when working out or yard working. And please use a cloth to keep it dry if water, sweat or moisture gets underneath it."", 'NANW came with 4 pack sense screen protector cases. Multi-color case covers for you to choice. NOTE: Please use a dry cloth to clean if water, sweat, moisture gets underneath the case as this may affect touch responsiveness.']","{""Package Dimensions"": ""6.97 x 4.57 x 0.55 inches"", ""Item Weight"": ""0.634 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 1951, ""Smartwatch Screen Protectors"": 57}, ""Special features"": ""Shatter_Resistant"", ""Human Interface Input"": ""Buttons"", ""Form Factor"": ""Case"", ""Color"": ""Black/Charcoal/Silver/RoseGold"", ""Manufacturer"": ""NANW"", ""Date First Available"": ""August 18, 2020"", ""Brand"": ""NANW"", ""Compatible Devices"": ""Smartwatches"", ""Shell Type"": ""Soft""}",These covers slip over the top of the watch case.  I have tried these cheesy covers that stick on the face of your watch.  Very happy with this purchase
"Jaorty Huawei Honor 10 Wallet Case, Huawei Honor 10 Case, Premium PU Leather Flip Folio Case with Card Slot, Stand Holder and Magnetic Closure [TPU Shockproof Interior Protective Case], Khaki",2.6,1.0,2019-11-05 01:04:21.573,,[],"{""Package Dimensions"": ""6.22 x 3.15 x 0.71 inches"", ""Item Weight"": ""0.704 ounces"", ""Manufacturer"": ""Jaorty"", ""Item model number"": ""Huawei Honor 10"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 646523, ""Flip Cell Phone Cases"": 55181, ""Cell Phone Basic Cases"": 314709}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""May 30, 2018"", ""Brand"": ""Jaorty"", ""Color"": ""Khaki"", ""Form Factor"": ""Flip"", ""Compatible Phone Models"": ""Huawei Honor 10"", ""Material"": ""Faux Leather, TPU""}",... of junk.
ITART Plastic Flexible Long Arms Gooseneck Clip Clamp Stand Universal Cell Phone Holder - Black,3.4,5.0,2018-06-03 14:01:32.526,10.99,"['HANDS-FREE. With this long arm lazy bracket, your hands are FREE to do anything while watching movies & enjoying music & playing phone games in bedroom, Kitchen, gym, office, exhibition or any other places.', 'SECURELY AND EASY TO INSTALL. The four claws with anti-slip foam holds your device securely. The flexible lazy mount bracket stand can bend to any sharp you need. NO tools required to install. Please find the install tips in the Product Description.', 'STURDY AND EASY MOUNTED. The hard metal stand can clamp down on any surface up to 1.5” thick. Perfect to attach to your bed, chairs, tables, desks and the inside of your car as long as you can find a sturdy foundation.', 'UNIVERSAL CELL PHONE HOLDER. This Gooseneck Cell Phone Holder compatible with iPhone 13, 13 mini, 12, 12 mini, 11, X, 8, 7, GPS, PDA, Samsung galaxy, HTC, LG, blackberry. The cell phone mount suit any smartphone or device up to 3.5” wide.', 'SIZE: 2.5ft in total height; 2ft length of the bendable arm. Made of heavy duty metal, quality plastic, and anti-slip farm.']","{""Product Dimensions"": ""5 x 4 x 3 inches"", ""Item Weight"": ""4.8 ounces"", ""Item model number"": ""CPHB"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 5206, ""Cell Phone Automobile Cradles"": 252}, ""Is Discontinued By Manufacturer"": ""No"", ""Special features"": ""Arm,Flexible,Gooseneck"", ""Other display features"": ""Wireless"", ""Color"": ""Black"", ""Manufacturer"": ""ITART"", ""Country of Origin"": ""China"", ""Date First Available"": ""July 1, 2016"", ""Brand"": ""ITART"", ""Compatible Devices"": ""Smartphones"", ""Compatible Phone Models"": ""Samsung galaxy, HTC, Nokia, LG, blackberry, iPhone 10, 12, 13, X, 8, 7, 6, 6S, 6 plus, 5, 4s,, 3gs, iPod, GPS, PDASamsung galaxy, HTC, Nokia, LG, blackberry, iPhone 10, 12, 13, X, 8, 7, 6, 6S, 6 plus, 5, 4s,, 3gs, iPod, GPS, PDA  See more"", ""Mounting Type"": ""Phone Mount,Clamp Mount""}",Works perfect with my phone.
"TUDIA DualShield Designed for Pixel 4a 5G Case (2020), [Merge] Shockproof Dual Layer Military Grade Drop Protection Slim Protective Case Cover - Matte Black",4.4,5.0,2020-12-06 01:24:07.679,11.99,"['Pixel 4a 5G Case compatible with Google Pixel 4a 5G', 'Certified military grade protection and ToughRhino Technology for double protection against drops and scratches', 'Raised lip and edges for camera and screen protection', 'Ultra slim rugged design with comfortable grip', 'Clicky buttons and precise cutouts for enhanced user experience']","{""Package Dimensions"": ""6.6 x 3.5 x 0.6 inches"", ""Item Weight"": ""3.52 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 46806, ""Cell Phone Basic Cases"": 19980}, ""Special features"": ""Shock-Absorbent"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Bumper"", ""Color"": ""Matte Black"", ""Manufacturer"": ""TUDIA"", ""Date First Available"": ""September 16, 2020"", ""Brand"": ""TUDIA"", ""Compatible Phone Models"": ""Google Pixel 4A"", ""Material"": ""Polycarbonate, Thermoplastic Polyurethane""}","I like this case more than I expected. It has a smooth feel, but isn't slippery to the hold. It fits perfectly and the volume and power buttons work correctly. I like the sort of tropical shade of blue as well - easy to see in my purse."
OtterBox COMMUTER SERIES for iPhone 14 & iPhone 13 - DONT BE BLUE (Blue),4.7,5.0,2022-11-22 13:51:55.170,39.95,"['Compatible with iPhone 14 & iPhone 13', 'DROP+ 3X as many drops as military standard (MIL-STD-810G 516.6) works with wireless and MagSafe charging pads (no magnets in case)', 'Dual-layer thin phone case is made with 35% recycled plastic', 'Pocket-friendly design with a secure grip', 'Includes OtterBox limited lifetime warranty (see website for details)']","{""Product Dimensions"": ""6.03 x 3.11 x 0.55 inches"", ""Item Weight"": ""2.39 ounces"", ""Item model number"": ""77-88412"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 231, ""Cell Phone Basic Cases"": 38, ""Cell Phone Screen Protectors"": 56}, ""Special features"": ""Anti-Slip, Shock-Absorbent, Wireless Charging Compatible"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Basic Case"", ""Color"": ""Blue"", ""Manufacturer"": ""OtterBox"", ""Country of Origin"": ""China"", ""Date First Available"": ""September 6, 2022"", ""Brand"": ""OtterBox"", ""Compatible Phone Models"": ""IPhone 14 & iPhone 13"", ""Material"": ""Synthetic Rubber, Polycarbonate""}",Sturdy and solid. It’s not slick  which means it’s less likely to slip out of my hands.
