image_url,parent_asin,title,main_category,details
https://m.media-amazon.com/images/I/81XlFXImFrS._AC_UL1500_.jpg,B08BHN9PK5,"YUEDGE 5 Pairs Men's Moisture Control Cushioned Dry Fit Casual Athletic Crew Socks for Men (Blue, Size 9-12)",AMAZON FASHION,"Features: 
Details: {""Package Dimensions"": ""10.31 x 8.5 x 1.73 inches; 14.82 Ounces"", ""Item model number"": ""DHES5PM21DH12"", ""Date First Available"": ""February 12, 2021""}"
https://m.media-amazon.com/images/I/91Z4G2jlFeL._AC_UL1500_.jpg,B08R39MRDW,"DouBCQ Women's Palazzo Lounge Wide Leg Casual Flowy Pants(Flower Mix Blue, XL)",AMAZON FASHION,"Features: Drawstring closure Machine Wash
Details: {""Package Dimensions"": ""15 x 10.2 x 0.4 inches; 9.59 Ounces"", ""Item model number"": ""Drop Crotch"", ""Date First Available"": ""February 5, 2021""}"
https://m.media-amazon.com/images/I/612-CtsBAvL._AC_UL1500_.jpg,B077KJHCJ4,Pastel by Vivienne Honey Vanilla Girls' Trapeze Dress with Easy Removable Label Large 9-10 Years Navy,AMAZON FASHION,"Features: Zipper closure Hand Wash Only
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""8.98 x 7.95 x 0.98 inches; 6.24 Ounces"", ""Item model number"": ""RJ-K140NA-LRG"", ""Date First Available"": ""November 11, 2018""}"
https://m.media-amazon.com/images/I/61qmATFO2FL._AC_UL1500_.jpg,B0811M2JG9,Mento Streamtail,AMAZON FASHION,"Description: Slip on the Women's Mento and you're ready to hit the beach. This thong sandal features canvas straps with a soft lining, a high density premium thickness comfort foam footbed and a lightweight non-marking EVA outsole with flex grooves. A full color digital print of Guy Harvey's artwork is featured on the wavy outsole.
Features: Thermoplastic Rubber sole High Density Premium Thickness Comfort Foam Footbed Full Color Original Guy Harvey Artwork On Wavy Outsole Soft Canvas Strap Lining with Embroidered Logo Screen Printed Logo on Footbed Lightweight Non-Marking EVA Outsole with Flex Grooves
{""Package Dimensions"": ""11.22 x 4.72 x 4.33 inches; 1.7 Pounds"", ""Item model number"": ""GHWMENTBGT-4152"", ""Department"": ""womens"", ""Date First Available"": ""November 5, 2019"", ""Manufacturer"": ""Guy Harvey"", ""Country of Origin"": ""China""}"
https://m.media-amazon.com/images/I/91ub366PdKL._AC_UL1500_.jpg,B07SB2892S,RONNOX Women's 3-Pairs Bright Colored Calf Compression Tube Sleeves,AMAZON FASHION,"Description: Ronnox Calf Sleeves - Allowing Your Body to Perform at Its Best!Some of the Ronnox Compression Socks Highlights:✔ Increase Endurance – Compression calf sleeves can reduce lactic acid and muscle fatigueallowing you to increase your endurance! Train harder, train better – and perform at your best.✔ Faster Recovery Time – Compression socks will aid in faster recovery time when worn for a few hours post workout.This is due to the increased blood flow to the calf muscles.✔ Reduce Swelling – Varicose veins, swollen ankles or swollen legs?The graduated premium compression can help to reduce swelling and assists your veins in getting blood to flow out of your legs and back to your heart!Ideal for long-haul flights or long journeys.✔ Minimize Cramps – Whether you get leg cramps during pregnancy or because your job requires being on your feet the entire day,these compression sleeves will help to reduce your leg cramps and muscle pain, helping you work and live better.General Features & Specifications:➤ Anatomically Designed to Fit Your Legs - No bunching or sliding down when walking, squatting or performing any exercise.Our calf sleeves will mold to the shape of your body.➤ Breathable Sweat-Wicking Design – The sweat-wicking breathable knee sleeve will regulate temperatureand ensure maximum comfort even during intense physical activity.➤ Soft Non-Irritating Neoprene Fabric – Instead of rough, scratchy calf sleeves, our fabric is softer, lighterand more comfortable than many others on the market.➤ Stretchable Elastic – This leg sleeve provides medium 15-20 hg graduated compression that won’t cause any blood clots or tighten around any veins.➤ Washable – Easy to clean, simply wash on a gentle cycle and hang to dry.➤ Sizes: Small / Medium / Large / Extra Large.➤ Colors: Hot Pink / Neon Green.
Features: Pull On closure Size Guide: ""S"" fits calf 10-12 inches. ""M"" fits calf 12-14 inches. ""L"" fits calf 14-16 inches. ""XL"" fits calf 16-18 inches. The above size guide is for calf circumference the length of the sleeve unstretched is approx: S, 11 inch. M, 12 inch. L, 13 inch. XL, 14 inch 3 Pairs: Styles and colors as seen in the picture. Choose between colorful sporty patterns & colored solids Medium Compression: The solid styles have 16-20 mmHg Graduated Compression. The pattern styles have 12-14 mmHg Graduated Compression Compression improves blood flow, aids with circulation, and keeps your feet energized. Great for running, athletic activities, & for nursing or standing all day Helps in reducing swelling and aching in the legs. Great for pregnancy & flight travel or sitting long periods
{""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""7.7 x 4.3 x 1.8 inches; 6.38 Ounces"", ""Department"": ""womens"", ""Date First Available"": ""July 18, 2017"", ""Manufacturer"": ""RONNOX""}"
https://m.media-amazon.com/images/I/61PXLV7A9DL._AC_UL1500_.jpg,B01ISW76HQ,"Nemidor Women's Vintage 1950s Style Sleeved Plus Size Swing Dress (18W, Burgundy)",AMAZON FASHION,"Features: 
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 11.02 x 0.59 inches; 1 Pounds"", ""Item model number"": ""NEM078_Burgundy_5XL"", ""Date First Available"": ""September 1, 2016""}"
https://m.media-amazon.com/images/I/51wifGtXJmL._AC_UL1001_.jpg,B08T6KT3N8,YUNXI 3D grape Drop Earrings Cute Fruit Gold Dangle Earrings Charm Jewelry Gift Earrings for Women Girls (3D grape Drop Earrings(purple)),AMAZON FASHION,"Features: 
Details: {""Package Dimensions"": ""4.13 x 3.03 x 0.47 inches; 0.32 Ounces"", ""Date First Available"": ""January 20, 2021""}"
https://m.media-amazon.com/images/I/61Rz6OajP5L._AC_UL1004_.jpg,B08FMLXY1Z,LYCKYY Women's Tie Dye Sweatshirt Crewneck Long Sleeve Pullover Tops with Pockets,AMAZON FASHION,"Description: Tie dye shirts for Women long sleeve crewneck sweatshirtLYCKYY are created to provide fashionable and comfortable women clothes, we offer the best balance between beauty and soft. Our distinctive graphic design make it possible for you to express yourself. Style: CasualColor: Blue, Blue Pink Grey, Coffee Pink Grey, Dark Grey Pink, Green, Grey, Orange, Purple, Red, Red Yellow Blue, YellowPattern Type: Whirlpool tie dye, Galaxy Tie DyeDetail: Two Side PocketsNeckline: Round NeckSleeve Length: Long SleeveSeason: Spring, Fall, WinterComposition: 65% Cotton, 35% PolyesterMaterial: Cotton BlendAttention: 1. Wash: The opposite machine gentle wash and air dry2. Color: May little vary due to different display settingOur ServicePlease Feel Free to Contact Us if You Receive the Defective Product/ Wrong Size/ Wrong Items. We Will Try Our Best to do the Best Services for You. Thank You.
Features: Pull On closure
{""Department"": ""womens"", ""Date First Available"": ""August 11, 2020""}"
https://m.media-amazon.com/images/I/71ZtYP0GfdL._AC_UL1500_.jpg,B07DXHY5ZX,PattyBoutik Women Crewneck Eyelet Cold Shoulder Sweater (Grayish Violet Small),AMAZON FASHION,"Features: 97% Cotton, 3% Other Fibers
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""13.62 x 8.31 x 1.77 inches; 11.71 Ounces"", ""Item model number"": ""SW-1770-PP-S"", ""Date First Available"": ""July 31, 2018""}"
https://m.media-amazon.com/images/I/71TvGyW0afL._AC_UL1500_.jpg,B07NP3HB46,"Toneka Men's Braided Elastic Stretch Belt with Croc Print End Tabs, 40, Navy",AMAZON FASHION,"Features: Elastic,Vegan Leather
Details: {""Product Dimensions"": ""5.5 x 4.5 x 2.3 inches; 5.6 Ounces"", ""Date First Available"": ""June 24, 2019""}"
