image_url,parent_asin,title,main_category,details
https://m.media-amazon.com/images/I/71g1lP0pMbL._SL1500_.jpg,B076WQZGPM,"Yes to Tomatoes Detoxifying Charcoal Cleanser (Pack of 2) with Charcoal Powder, Tomato Fruit Extract, and Gingko Biloba Leaf Extract, 5 fl. oz.",All Beauty,"Features: 
Details: {""Item Form"": ""Powder"", ""Skin Type"": ""Acne Prone"", ""Brand"": ""Yes To"", ""Age Range (Description)"": ""Adult"", ""Unit Count"": ""10 Fl Oz"", ""Is Discontinued By Manufacturer"": ""No"", ""Item model number"": ""SG_B076WQZGPM_US"", ""UPC"": ""653801351125"", ""Manufacturer"": ""Yes to Tomatoes""}"
https://m.media-amazon.com/images/I/71GJhXQGvyL._SL1500_.jpg,B088FKY3VD,"Tattoo Eyebrow Stickers, Waterproof Eyebrow, 4D Imitation Eyebrow Tattoos, 4D Hair-like Authentic Eyebrows Waterproof Long Lasting for Woman & Man Makeup Tool",All Beauty,"Features: 
Details: {""Brand"": ""Cherioll"", ""Item Form"": ""Powder"", ""Finish Type"": ""Natural"", ""Product Benefits"": ""Long Lasting"", ""Skin Type"": ""All"", ""Package Dimensions"": ""8.43 x 5.91 x 0.87 inches; 8.78 Ounces"", ""Item model number"": ""eyebrow sticker001""}"
https://m.media-amazon.com/images/I/41a1Sj7Q20L._SL1005_.jpg,B07G9GWFSM,Lurrose 100Pcs Full Cover Fake Toenails Artificial Transparent Nail Tips Nail Art for DIY,All Beauty,"Description: Description
Features: The false toenails are durable with perfect length. You have the option to wear them long or clip them short, easy to trim and file them to in any length and shape you like. ABS is kind of green enviromental material, and makes the nails durable, breathable, light even no pressure on your own nails. Fit well to your natural toenails. Non toxic, no smell, no harm to your health. Wonderful as gift for girlfriend, family and friends. The easiest and most efficient way to do your toenail tips for manicures or nail art designs. It's fashion, creative, a useful accessory brighten up your look, also as a gift.
{""Color"": ""As Shown"", ""Size"": ""Large"", ""Material"": ""Acrylonitrile Butadiene Styrene (ABS)"", ""Brand"": ""Lurrose"", ""Style"": ""French"", ""Product Dimensions"": ""5.63 x 2.83 x 0.39 inches; 1.9 Ounces"", ""UPC"": ""799768026253"", ""Manufacturer"": ""Lurrose""}"
https://m.media-amazon.com/images/I/71jrogkcveL._SL1500_.jpg,B08XZ97HFY,Stain Bonnet For Baby Bonnet Silk Sleep Cap For Toddler Child Shower Cap Teens Kids,All Beauty,"Features: 
Details: {""Brand"": ""Edoneery"", ""Material"": ""Silk"", ""Number of Items"": ""1"", ""Size"": ""1 Count (Pack of 1)"", ""Inner Material"": ""100 Silk"", ""Package Dimensions"": ""10 x 5.79 x 0.75 inches; 0.63 Ounces""}"
https://m.media-amazon.com/images/I/810s1yPUJgL._SL1500_.jpg,B08DNQTTQK,50 Pieces False Eyelash Packaging Box Empty Eyelash Box Plastic Eyelash Storage Case with Glitter Paper and Clear Tray for Women Girls Eyelash (Holographic),All Beauty,"Features: 
Details: {""Package Dimensions"": ""14.49 x 11.26 x 2.36 inches; 2.65 Pounds""}"
https://m.media-amazon.com/images/I/9118ClZ71fL._SL1500_.jpg,B01ERJEGS6,Gold extatic Musk EDT 90ml,All Beauty,"Description: Edt spray 3 oz design house: balmain
Features: Extatic Balmain Gold Musk By Balmain Edt Spray 3 Oz
{""Brand"": ""Balmain"", ""Item Form"": ""Spray"", ""Item Volume"": ""90 Milliliters"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""2.76 x 5.79 x 2.76 inches; 13.33 Ounces"", ""Item model number"": ""BA008A01"", ""Manufacturer"": ""Balmain""}"
https://m.media-amazon.com/images/I/91PDRd5QhQL._SL1500_.jpg,B08P7LXKP7,"4 Pieces Satin Bonnet Adjustable Sleep Cap Double Layer Printed Hair Bonnet Large Reversible Sleeping Silk Night Hair Cap for Women Natural Curly Hair (Floral, Flamingo, Flower)",All Beauty,"Features: 
Details: {""Package Dimensions"": ""12.49 x 9.97 x 1.46 inches; 7.51 Ounces""}"
https://m.media-amazon.com/images/I/51TTTf0hZjL._SL1000_.jpg,B01555WAOS,Avon Big & False Lash Mascara - Brown/Black by Big & False Lash,All Beauty,"Features: 
Details: {""Color"": ""black"", ""Brand"": ""AVON"", ""Item Volume"": ""10 Milliliters"", ""Package Information"": ""Tube"", ""Package Type"": ""Tube"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""4.9 x 1 x 1 inches; 0.71 Ounces"", ""UPC"": ""888761028828""}"
https://m.media-amazon.com/images/I/614-X9xG+UL._SL1500_.jpg,B07GGYR3LJ,"Stainless Steel Beard Comb, Portable Fashionable Engraving Design Mustache Hair Comb for Beard Trimming Styling and Shaping",All Beauty,"Features: 
Details: {""Material"": ""Metal"", ""Brand"": ""Brrnoo"", ""Hair Type"": ""All"", ""Unit Count"": ""1.00 Count"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""0.39 x 0.39 x 0.39 inches; 2.12 Ounces"", ""UPC"": ""798382032183""}"
https://m.media-amazon.com/images/I/61G2mBATagL._SL1117_.jpg,B06XJZ7955,Brand New Headrang Face line Contour V-line Machine,All Beauty,"Features: 
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""11.93 x 10.98 x 3.15 inches; 1.28 Pounds"", ""UPC"": ""766166313001""}"
https://m.media-amazon.com/images/I/619lCTWpuGL._SL1001_.jpg,B07FVZVQKV,"Loose Powder, 1.5oz Bottle Loose Face Powder, Translucent Tone Loose Face Powder, for Setting Makeup or as Foundation, Lightweight, Long Lasting",All Beauty,"Features: 
Details: {}"
https://m.media-amazon.com/images/I/51iCK1FjFkL._SL1200_.jpg,B07ZJW55Z5,Nomade By Chloe,All Beauty,"Description: new
Features: 
{""Brand"": ""Chloe"", ""Item Volume"": ""100 Milliliters"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Item Weight"": ""0.2 Kilograms"", ""Product Dimensions"": ""4.72 x 5.12 x 4.33 inches; 7.05 Ounces"", ""Item model number"": ""BF-3614228956567_Vendor""}"
https://m.media-amazon.com/images/I/71k7tLMTbQS._SL1500_.jpg,B08X7JHQG5,"BioMiracle StarDust Pixie Bubble Mask, Clarifying Foaming Face Mask with Green Tea and Apple, Carbonated Bubble Cupro Sheet Mask for Clear, Even Skin",All Beauty,"Description: This foaming pixie sheet mask is infused with nourishing ingredients that help to reduce dark spots and clarify your complexion. BioMiracle's innovative Cupro sheet mask helps to increase skin's absorption, locking in hydration and letting your skin reap the full benefits of this clarifying mask. The gentle carbonated bubble mask foams when applied on the face, deeply penetrating the skin with Green Tea and Apple for a facial sheet mask that clears away impurities as it delivers a more youthful complexion. Treat yourself to a gentle, hydrating green tea face mask designed to fix uneven skin tone as it relaxes and soothes, clearing away dirt and grime from your pores for brighter, glowing skin.
Features: GENTLE ON THE SKIN - This bubble face mask contains soothing, nourishing ingredients, like Green Tea and Apple, to gently cleanse and clarify even the most sensitive skin. IMPROVES SKIN TEXTURE - This clarifying foaming mask delivers a deep cleanse, minimizing fine lines and wrinkles for a glowing, even complexion MOISTURIZING - BioMiracle's innovative Cupro sheet masks deliver and lock-in long-lasting hydration to tired, thirsty pores. REDUCE DARK SPOTS - A carbonated bubble mask that helps to improve skin's appearance, reducing the appearance of dark spots and gently cleansing away impurities. SAFE FOR ALL SKIN TYPES - With NO parabens and NO animal testing, you can feel good about putting BioMiracle bubble face masks on your skin.
{""Brand"": ""BioMiracle"", ""Item Form"": ""Sheet"", ""Product Benefits"": ""Hydrating"", ""Scent"": ""Apple"", ""Skin Type"": ""All"", ""Product Dimensions"": ""1.97 x 0.79 x 5.51 inches; 0.88 Ounces"", ""Item model number"": ""MIRA50"", ""UPC"": ""810004100619"", ""Manufacturer"": ""MJM Sourcing, LLC""}"
https://m.media-amazon.com/images/I/615N6fkcn9L._SL1500_.jpg,B07WFSQXL5,PPY Eyelash Growth Serum – Natural Ingredients – Advanced Growth Formula – Strengthening Effect – Nourished and Moisturized Lashes (White Pack),All Beauty,"Features: 
Details: {""Use for"": ""Face"", ""Scent"": ""Aloe"", ""Brand"": ""PPY"", ""Material Feature"": ""Natural"", ""Package Dimensions"": ""4.45 x 1.14 x 0.91 inches; 1.06 Ounces"", ""UPC"": ""785197223554""}"
https://m.media-amazon.com/images/I/71Jri3yhloL._SL1000_.jpg,B074SHN8YC,"Dingxiu (5Packs,24"") Two Tone Jumbo Braid Ombre Braiding Hair Extensions Afro Box Braids Crochet Hair Synthetic Fiber Hair 100g/pack(24 Inch, 1B)",All Beauty,"Features: 
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""13.2 x 4.8 x 4.1 inches; 1.1 Pounds"", ""UPC"": ""712492909005""}"
https://m.media-amazon.com/images/I/71TdThR3dkL._SL1100_.jpg,B07MH4Z7J7,"Nadula Hair 10A Brazilian Body Wave U Part Human Hair Wigs For Black Women, 100% Unprocessed Virgin Body Wave Half U Shape Wig Middle Part Upart Remy Hair Wigs 150% Density Natural Color (18inch)",All Beauty,"Features: 
Details: {""Material"": ""Human Hair"", ""Hair Type"": ""Curly, Coily"", ""Brand"": ""Nadula"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""10.63 x 6.97 x 3.11 inches; 11.57 Ounces""}"
https://m.media-amazon.com/images/I/511F2HtJytL._SL1000_.jpg,B07R13ZSV5,"2PC rainbow cloud bath bombs,Float on Water&Release Vivid Rainbow Color, Moisturize Dry Skin for women,Kids gift",All Beauty,"Features: 
Details: {""Package Dimensions"": ""9.65 x 3.39 x 1.5 inches; 7.8 Ounces""}"
https://m.media-amazon.com/images/I/81ugegqeBkL._SL1500_.jpg,B08BV6F6BC,Wixar Natural Sea Moss Soap - (2 PACK) - Lavender & Honey - Wildcrafted Irish Sea Moss - Cold Process Bar Soap - Scented With Premium Essential Oils - For Men and Women - Face & Body,All Beauty,"Features: 
Details: {""Item Form"": ""Bar"", ""Skin Type"": ""Oily,Sensitive,All Skin Types"", ""Brand"": ""WIXAR NATURALS"", ""Scent"": ""Lavender"", ""Material Feature"": ""Natural"", ""Package Dimensions"": ""4.21 x 2.52 x 1.89 inches; 7.05 Ounces"", ""UPC"": ""618149310265""}"
https://m.media-amazon.com/images/I/51xAVUQI9LS._SL1500_.jpg,B07X1TK3VS,"VIROCHEMISTRY Pheromones For Women (Elixir) - Elegant, Ultra Strength Organic Fragrance Body Perfume (1 Fl. Oz)",All Beauty,"Description: The Most Amazingly Effective and Fantastic Smelling Women Pheromone Perfume with Human Pheromones Available Anywhere, Hands Down.
Features: 🗽 SCIENTIFICALLY PROVEN! Scientifically Formulated Human Pheromone Blend for Women that Has Proven to Attract Men and Appeal to their Receptors. Packaging May Vary. 🎁 GREAT SMELLING! Irresistible Smelling Pheromone Perfume that Will Help Attract Men as Well as Smell Wonderful. ❤️ PROVEN INGREDIENTS! Patented Blend of Human Pheromones including the Most Effective Scents and Oils Available. 💎 EFFECTIVE! Amazing, powerful scent that is youthful and empowering. Get his attention with our specifically designed pheromone perfume to appeal to his desires. 🎯 LONG-LASTING! Proven Pharmaceutical Grade Human Pheromones Perfume that Keeps Working for over 35 hours after being applied to ensure time for the Pheromones to Attract Men.
{""Brand"": ""VIROCHEMISTRY"", ""Item Form"": ""Liquid"", ""Item Volume"": ""1 Fluid Ounces"", ""Age Range (Description)"": ""Adult"", ""Style"": ""Modern"", ""Package Dimensions"": ""4.33 x 1.42 x 1.34 inches; 3.21 Ounces"", ""UPC"": ""703230998214"", ""Manufacturer"": ""VIROCHEMISTRY""}"
https://m.media-amazon.com/images/I/81OW9jlakcL._SL1500_.jpg,B07MDP86Q4,"VeSunny 20"" Clip in Hair Extensions Balayage Color #2 Dark Brown Fading to #6 Brown Highlights #18A Ash Blonde Balayage Clip in Double Weft Hair Extensions Real Human Hair 7Pcs 120G",All Beauty,"Features: 
Details: {""Brand"": ""Ve Sunny"", ""Material"": ""Human Hair"", ""Hair Type"": ""Straight"", ""Installation Type"": ""Clip"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""20 x 1 x 1 inches; 4.16 Ounces"", ""UPC"": ""799577980005""}"
