image_url,parent_asin,title,main_category,details
https://m.media-amazon.com/images/I/61uzF0tygaL._AC_SL1001_.jpg,B07ZPSG8P5,"Bastmei for OnePlus 7T Case Extremely Light Ultra Thin, Super Slim Hard PC Cover Case for OnePlus 7T (Gravel Green)",Cell Phones & Accessories,"Features: Ultra-thin & Ultra-light: The ultra slim fit protective OnePlus 7T case, You will feel nothing on your phone, But it did keep the protection of Samsung and give you the excellent grip. Perfect Fit: This slim OnePlus 7T case can fit for your OnePlus 7T perfectly, Easy to install and take off. Excellent Feel: When you touch the OnePlus 7T case, you will feel comfortable.Worth to have it. Quality Warranty: 180 days quality gurantee, If you get quality problems with this OnePlus 7T case, please contact us in the first time. We will send you a new OnePlus 7T case. Not compatible with OnePlus 7.
Details: {""Package Dimensions"": ""7.6 x 4.29 x 0.75 inches"", ""Item Weight"": ""1.44 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 103048, ""Cell Phone Basic Cases"": 46568}, ""Special features"": ""Anti-Slip"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Bumper"", ""Color"": ""Gravel Green"", ""Manufacturer"": ""XiaoMoGu"", ""Date First Available"": ""October 28, 2019"", ""Brand"": ""Bastmei"", ""Compatible Phone Models"": ""OnePlus 7T"", ""Material"": ""Polycarbonate""}"
https://m.media-amazon.com/images/I/91+NK3bzGYL._AC_SL1500_.jpg,B00GKR3L12,Wireless Fones Branded New Iphone 5C/LITE Hot Pink Lace detail Leather Wallet Folio Case,Cell Phones & Accessories,"Features: 
Details: {""Item model number"": ""Apple Iphone 5C"", ""Other display features"": ""Wireless"", ""Color"": ""Pink"", ""Manufacturer"": ""WIRELESS FONES"", ""Date First Available"": ""May 21, 2016""}"
https://m.media-amazon.com/images/I/91s1rMJZYNL._AC_SL1500_.jpg,B00PB8U8BW,"iPhone 6 Plus + Case, DandyCase Perfect PATTERNNo Chip/No Peel Flexible Slim TPU Case Cover for Apple iPhone 6 Plus (5.5"" Screen) [Vintage Pink Rose Floral]",Cell Phones & Accessories,"Description: Case does not need to be removed for charging. Camera opening allows unobstructed use of camera and flash.
Features: Slim-Fit design for the iPhone 6 Plus (5.5"" screen) PREFECT PATTERN cases do not chip, peel, break, or stretch out Anti-slip properties gives your iPhone 6 Plus more grip on surfaces Adds a ""lip"" to your iPhone 6 Plus so you can place it screen-down and not worry about scratches Precision cutouts allow full access to charging and headphone connections witout removing the case
{""Product Dimensions"": ""5.43 x 0.28 x 2.64 inches"", ""Item Weight"": ""0.8 ounces"", ""Other display features"": ""Wireless"", ""Color"": ""Pink, Light Pink"", ""Manufacturer"": ""DandyCase"", ""Date First Available"": ""September 29, 2014"", ""Brand"": ""DandyCase"", ""Compatible Phone Models"": ""iPhone 6 Plus"", ""Material"": ""TPU"", ""Compatible Devices"": ""apple iphone 5S""}"
https://m.media-amazon.com/images/I/61jbrzEtn1L._AC_SL1075_.jpg,B00JIFK1HA,Rikki Knight 3D Chevron Peach on White with Anchor Flip Wallet iPhoneCase with Magnetic Flap for Apple iPhone 5c,Cell Phones & Accessories,"Description: The Rikki Knight new Flip Wallet iPhone case for iPhone 5C protects your cell phone from scratches dirt, and impact whilst also Providing easy access to all features of your phone. This case also protects your privacy by with the Flip Cover on your screen to prevent those around you from reading your on screen messages. Inside of the case features a side slot where you can store business cards, credit cards, cash, etc. Universal: Verizon - Sprint - AT&T - Unisex, the Rikki Knight Flip Wallet case is the perfect Accessory to protect your iPhone in style. Each Rikki Knight image design is part of a larger collection that can be purchased as a matching Accessory to this phone case - such as wristlets, Compact mirrors, Messenger bags, laptop bags, Pencil cases, pen Holder, iPod cases, iPad Nook and Kindle cases, mugs, mouse pads, key chains, and many more. Disclaimer: all images are printed directly into the material - the texture of the image will always be a flat surface. Any images that appears to be 3D, textured, or Glittery are flat printed images and are proudly printed in the USA.
Features: Includes attached ribbon Wristlet Strap. Black wallet case made of quality PU Leather material and Printed front on Fabric surface Protect your mobile phone from scratch, dirt, impact and shock
{""Product Dimensions"": ""5 x 2.5 x 0.1 inches"", ""Item Weight"": ""12.8 ounces"", ""Domestic Shipping"": ""Item can be shipped within U.S."", ""International Shipping"": ""This item can be shipped to select countries outside of the U.S.  Learn More"", ""Item model number"": ""RK-Flip5Ciphone857"", ""Other display features"": ""Wireless"", ""Color"": ""Black"", ""Whats in the box"": ""phone case"", ""Manufacturer"": ""Rikki Knight"", ""Country of Origin"": ""USA"", ""Date First Available"": ""January 1, 2010""}"
https://m.media-amazon.com/images/I/81LnAiuatWL._AC_SL1500_.jpg,B0BHY2CR5B,"iMangoo Galaxy S22 Case, for Samsung Galaxy S22 Cases Wallet Case Men Women Protective ID Credit Card Slot Holder Cash Pocket PU Leather Sleeve Double Magnetic Closure Clasp Galaxy S22 Flip Case Blue",Cell Phones & Accessories,"Features: Compatibility: This Galaxy S22 case is only compatible with Samsung Galaxy S22 2022 released(6.1 inch display); Please check your phone model before purchasing; NOT compatible with other phone models Portable Wallet Case Design: Galaxy S22 case wallet has 3 card slots could hold your ID, credit card, driver’s licence or cashes without taking your wallet when going out, ideal for daily, workdays and travelling Magnetic Closure Flip Cover Design: The S22 folio flip protective case cover and magnetic clasp make it easy to open and use the cover at any time, and the magnetic clasp also secures your cards and money Slim Fit Premium Faux Leather: Galaxy S22 5G shockproof case is made of high quality faux leather, which is durable and resistant to scratches and fingerprints; Soft TPU shell inner could protect your phone and easy to install; the slim and light design does not make your phone bulky Precise Cut-outs: Responsive buttons and precise cut-outs allow easy access to speakers, charging ports, audio ports and buttons without removing this galaxy S22 case with card holder
Details: {""Package Dimensions"": ""7.56 x 6.46 x 0.75 inches"", ""Item Weight"": ""1.44 ounces"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 40135, ""Flip Cell Phone Cases"": 2521}, ""Special features"": ""Magnetic Flip Closure, Slim Fit, Heavy Duty Protection, Kickstand, Card Holder Slots"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Flip"", ""Color"": ""Blue/ Galaxy S22 6.1 inches"", ""Whats in the box"": ""Card Holder"", ""Manufacturer"": ""iMangoo"", ""Country of Origin"": ""China"", ""Date First Available"": ""February 10, 2022"", ""Brand"": ""iMangoo"", ""Compatible Phone Models"": ""Samsung Galaxy S22"", ""Material"": ""Faux Leather""}"
https://m.media-amazon.com/images/I/51Y3fzcEYTL._AC_SL1100_.jpg,B07W5Z9VHY,Omio for Galaxy Note 10 Plus Privacy Screen Protector Tempered Glass Black Screen Protectors 9H Hardness Anti-Scratch Anti-Spy Anti-Fingerprint Bubble-Free Full Coverage Film for Galaxy Note 10 Plus,Cell Phones & Accessories,"Features: 
Details: {""Package Dimensions"": ""7.44 x 3.54 x 0.35 inches"", ""Item Weight"": ""1.48 ounces"", ""Item model number"": ""JL1850-1"", ""Date First Available"": ""August 19, 2019"", ""Brand"": ""Omio"", ""Compatible Devices"": ""Cellphone"", ""Material"": ""Tempered Glass"", ""Item Hardness"": ""9H""}"
https://m.media-amazon.com/images/I/61J3STWn-JL._AC_SL1200_.jpg,B08GK7J9XN,"ZHK Compatible with iPhone 12 Pro Max Case for Women, Marble 3 Layer Heavy Duty Shockproof Cute Girls Anti-Scratch Protective Case Cover for iPhone 12 Pro Max (6.7 inch, 2020) –Rose Gold",Cell Phones & Accessories,"Features: 
Details: {""Package Dimensions"": ""8.46 x 5.08 x 1.34 inches"", ""Item Weight"": ""2.6 ounces"", ""Item model number"": ""UYH180"", ""Special features"": ""Shock-Absorbent"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Bumper"", ""Manufacturer"": ""ZHK"", ""Date First Available"": ""September 18, 2020"", ""Brand"": ""ZHK"", ""Compatible Phone Models"": ""iPhone 12 Pro Max"", ""Material"": ""Thermoplastic Polyurethane"", ""Pattern"": ""Geometric""}"
https://m.media-amazon.com/images/I/71NQHMKtTPL._AC_SL1200_.jpg,B06XW2NJH2,"iPhone 6S Plus Case,iPhone 6 Plus Case,KAKA[Heavy Duty]Three Layers Rugged Armor Shockproof Soft Silicone Anti-Scratch Hard PC Hybrid Protective Case for iPhone 6 Plus/6s Plus,Flower 2 Black",Cell Phones & Accessories,"Features: 
Details: {""Product Dimensions"": ""6.3 x 3.1 x 0.39 inches"", ""Item Weight"": ""2.24 ounces"", ""Item model number"": ""4326750542"", ""Is Discontinued By Manufacturer"": ""No"", ""Other display features"": ""Wireless"", ""Form Factor"": ""Bumper"", ""Manufacturer"": ""KAKA"", ""Date First Available"": ""May 23, 2017"", ""Brand"": ""KAKA"", ""Material"": ""Silicone, Polycarbonate"", ""Screen Size"": ""5.5 Inches"", ""Item Dimensions LxWxH"": ""6.3 x 3.1 x 0.39 inches""}"
https://m.media-amazon.com/images/I/81BX0bcayDL._AC_SL1500_.jpg,B0B8ZBCCY6,"WSKEN for Samsung Galaxy Z Fold 4 Camera Lens Protector Case Cover, Anti Scratch HD Tempered Metal Glass Camera Screen Protector Shockproof Film for Galaxy Z Fold 4 5G 2022 Accessories,Gold",Cell Phones & Accessories,"Features: Compatibility: The aluminum alloy metal 9H tempered glass camera lens protector is designed for Samsung Galaxy Z Fold 4 5 G 2022.Fit almost z fold 4 case.(NOTE!!! No for accurate hole case) Anti Reflection & Highly Clear: Made of highly transparent 9H tempered glass and 99.99% optical-grade light transmittance, effectively blocking and filtering ultraviolet rays, will not effect the quality of photograph. No residue, No fog, No blue light is caused when using flash. Full Coverage & Drop-Proof & Scratch-Proof: Made of 3 single individual aviation aluminum metal ring,superior 9H tempered glass that is scratch resistant and shatterproof protecting your camera lens from scratches to high impact drops.It necessary to protect your galaxy z fold 4 camera lens from damage and scratches with the lovely lens ring. Individual Camera Lens with Install Kit: The delicate and precise spiral pattern of protector de pantalla z fold 4 produces fascinating reflections and the unbeatable shine in any light. Protecting your lens while making decoration.Come with install kit, 3D Texture, multicolor lens protector ring cover matches your style. Easy installation & bubble free alignment: The unique design of our lens protector snaps precisely and securely into place.kindly scan the code (which obove the packing box) to watch the video to learn to install.
Details: {""Product Dimensions"": ""2\""L x 2\""W"", ""Item Weight"": ""0.8 ounces"", ""Item model number"": ""Samsung Galaxy Z Fold 4"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 15334, ""Cell Phone Screen Protectors"": 1633}, ""Special features"": ""Scratch Resistant"", ""Color"": ""Gold"", ""Whats in the box"": ""3 x camera lens protector,1 x install kit,1 x dust cleaner"", ""Manufacturer"": ""WSKEN"", ""Date First Available"": ""August 23, 2022"", ""Brand"": ""WSKEN"", ""Compatible Devices"": ""Cellphone"", ""Material"": ""Tempered Glass"", ""Item Hardness"": ""9H"", ""Compatible Phone Models"": ""Z Fold 4"", ""Special Feature"": ""Scratch Resistant"", ""Finish Type"": ""Oil Rubbed"", ""Unit Count"": ""1 Count"", ""Screen Size"": ""7.6 Inches""}"
https://m.media-amazon.com/images/I/61IgzkZY8IL._AC_SL1000_.jpg,B07NWTB6P1,MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic Compatible with iPhone Xs Max 6.5 inch incl. Screwdrivers,Cell Phones & Accessories,"Description: MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic compatible with iPhone XS Max 6.5 inch Earpiece Sound Listening Assembly incl. Screwdrivers Complete set: Set Includes 3 x Screwdriver 1 x Pentalobe 1 x Cross 1 x 0. 6. Tri-Point. Important! By replacing this assembly, you will permanently lose the face ID function. Compatible with iPhone XS Max 6. 5 Inch A1921/ A2101/ A2102/ A2104 (All Carriers) ! Important: Please check the Model Number of your device before purchasing this Item. You will find the Model Number on your device and / or in the settings. Easy Installation:  Accurate Replacement part used to Replace the broken damaged part! Perfect fit. You do not need a Technician to do it. High quality product by MMOBIEL: Each parts are tested before shipment. Item in Stock!
Features: MMOBIEL Earspeaker Light Sensor Flex Cable Incl Mic compatible with iPhone XS Max 6.5 inch Earpiece Sound Listening Assembly incl. Screwdrivers Complete set: Set Includes 3 x Screwdriver 1 x Pentalobe 1 x Cross 1 x 0. 6. Tri-Point. Important! By replacing this assembly, you will permanently lose the face ID function. Compatible with iPhone XS Max 6. 5 Inch A1921/ A2101/ A2102/ A2104 (All Carriers) ! Important: Please check the Model Number of your device before purchasing this Item. You will find the Model Number on your device and / or in the settings. Easy Installation:  Accurate Replacement part used to Replace the broken damaged part! Perfect fit. You do not need a Technician to do it. High quality product by MMOBIEL: Each parts are tested before shipment. Item in Stock!
{""Package Dimensions"": ""3.46 x 3.23 x 0.24 inches"", ""Item Weight"": ""0.211 ounces"", ""Item model number"": ""iPhone XS Max A1921/ A2101/ A2102/ A2104"", ""Best Sellers Rank"": {""Cell Phones & Accessories"": 22000, ""Cell Phone Replacement Parts"": 237}, ""Other display features"": ""Wireless"", ""Manufacturer"": ""MMOBIEL"", ""Country of Origin"": ""China"", ""Date First Available"": ""February 20, 2019"", ""Brand"": ""MMOBIEL"", ""Subwoofer Diameter"": ""6 Inches"", ""Surround Sound Channel Configuration"": ""3.0"", ""Speaker Maximum Output Power"": ""3 Watts"", ""Is Waterproof"": ""FALSE""}"
